Index,Title,Lyrics
20,超級英雄的約定,這次就換你看著我的背影 面對未知的恐懼也不再擔心 當超級英雄離開後曾經的紈絝子弟 開始學習把家打理仔細 因為他知道必須要扛起家計 像個男子漢一樣承擔壓力 正所謂不經一事也不長那一智 要成就大事注定要多摔幾次 有些事來得太快誰都無法準備 那就具備顆強大的心 讓一切無畏 媽媽就請妳免煩惱 我已經毋是歹子 袂再閣乎妳心痛 這次就換你看著我的背影 面對未知的恐懼也不再擔心 就算天塌下來我也一肩扛起 畢竟這是跟超級英雄的約定 不知不覺也已經兩年多 他的存在美得就像煙火 照亮我在夜裡棲息的勇敢 也召喚為愛而戰的同伴 我會在心裡面刻上妳諄諄的教誨 我會讓妳過好日子一定說到做到 讓英雄驕傲(I can say out loud) 因為這就是我的忍道(Not gonna let you down) 這次就換你看著我的背影 面對未知的恐懼也不再擔心 就算天塌下來我也一肩扛起 畢竟這是跟超級英雄的約定
21,Never Die,濃烈的 無知的 沒有方向還是要啟程 因為知道遠方有人在等 我浪費著 青春呢 未來不被祝福那又如何 直到盡頭的末班車 我要放蕩不羈的愛 不後悔也不怕失敗 證明曾經我的存在 I know that spirit will never die 我要放蕩不羈的愛 反正人生不會重來 證明曾經我的存在 I know that spirit will never die We will never die 我不信人 不信神 只想把音樂放到最大聲 跟著值得我去愛的人 I won't escape Cause I know there's no place to hide Ain't got no limits I'm always fighting for life 會驚就袂大尾 毋敢拼落當然嘛沒機會 我要放蕩不羈的愛 不後悔也不怕失敗 證明曾經我的存在 I know that spirit will never die 我要放蕩不羈的愛 反正人生不會重來 證明曾經我的存在 I know that spirit will never die We will never die 我要放蕩不羈的愛 不後悔也不怕失敗 證明曾經我的存在 I know that spirit will never die 我要放蕩不羈的愛 反正人生不會重來 證明曾經我的存在 I know that spirit will never die We will never die
22,重感情的廢物,我們已經長大 笑著曾經說過的夢話 有幾分能作響 承諾不再偉大 屬於同個宇宙的愛人 終究會離開吧 我翻著那些舊照片 手裡握著冷冰孤寂的獎盃 你已經越來越遙遠 剩下曲終人散的總結 你要我該怎麼去面對 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 愛上那些謊話 離開心裡天真的孩子 無情的擁抱吧 反正這是命啊 早習慣享受這種孤獨 和沈重的步伐 我翻著那些舊照片 手裡握著冷冰孤寂的獎盃 (你不存在的空間) 你已經越來越遙遠 剩下曲終人散的總結 看不見聽不見除非你在我身邊 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 想回到那一天 是多麽不顧一切 那樣的我們離這世界好遠 受夠自己在這裡抱怨這個世界 反正不管再怎麼靠背也都不會改變 除非你陪我浪費 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 不想接受就這樣的結束 我就是重感情的廢物
23,21世紀最強兒歌,一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛 一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛 Hey 曾經那個中二的屁孩長大了 一把吉他就能對抗全世界(小星星) 擊敗所有心魔後最美的風景 原來是為了迎接你的出現(小星星) 明天九尾查克拉是否 還能成為你的拯救 還能再為我舉起雙手 就怕修行還不夠 死者甦生也換不回 能拯救我世界的笑容 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下這輩子忘不掉的煙火 Hey 爸爸希望你平安又健康的成長 不必追求成功也志不在得獎 做愛的事不用管別人怎麼想(小星星) 記得要保持善良也保護自己 就是陪伴自己失敗最大的知音 最閃耀的存在就是你(小星星) 馬上要前進黑暗大陸 耶穌的晚宴緊握住 月牙天衝將擊散迷霧 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下最燦爛的煙火 若不是你我早已經沒性命 茫茫渺渺的放袂記啥物叫做希望 從今以後就是一个勇敢的人 If you tryna fuck with us I’m gonna make you bleed for sure This is the war that we call love If you tryna fuck with us 我後面瘋狗好幾卡車 Y’all better ready for my Kamehameha 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下最燦爛的煙火 Oh yeah 就算有天我將會離開你 但我發誓會用盡全力守護你到最後 留下最燦爛的煙火 若不是你我早已經沒性命 茫茫渺渺的放袂記啥物叫做希望 從今以後就是一个勇敢的人 一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛 一閃一閃亮晶晶 滿天都是小星星 掛在天上放光明 好像許多小眼睛
24,会魔法的老人,我從出生就是一個自閉小孩 容易被別人一句話給輕易傷害 所以 我在唱台上 不斷的擺弄我的肢體 為了阻擋光線 和我眼神裡的荒誕 獨自在電影院裡 觀看一部傑作 野火在我的心底燃燒 夢醒生活再被截獲 在閃光燈和相機 面前對爺爺的照片別過 把人生中的脆弱通過歌詞演說 無法去甄別 這是錯的 或者是對的 是real或fake 媽媽我只是累了 我罪惡 在感情上面懷有 一絲愧色 如果我們刨開心臟 你們會說這就對了 我把它放在博物館裡展覽 看著一旁熙攘的人群在逐漸匯合 有人在鼓掌 有人哭喊 有人朝他吐痰 卻唯獨沒人 給我擦乾我的淚河 故事被曬乾 過程都太短 時間可以倒退用我生命來換 過路的人都已謝完了幕 一個人吃飯往往會比中藥還再苦 他們只在乎cash oh cash oh cash 我視他們為trash oh trash oh trash 我想要跑到北上廣去蓋一整棟樓 我知道那些東西不急以後都會有 後來那台電視機前只剩我在換台 後來懂我的人的鬢角都已變的斑白 後來聚攏的人都隨著時間滴答滴答散開 直到我 再也不敢把那回憶之書翻開 嘗試在周圍的竊竊私語 中 尋求治愈 在一張張的字據 裡面 去避免失去 可是失去他就是會失去啊 這是所有人和事的結局 我要怎麼才能做到豁達 是我的錯嗎？ 我也想把那精緻長袍脫下 換種活法 我也想轉身擁抱過去 但我不會魔法 若你我相逢在人海裡 請你送我一束花 我想要成為 一名 藝術家 或許走到死亡的盡頭 那蒼白的老人 熱情早已不在他的心頭 他會失憶的 但會有人把他的生命記憶拼湊 因為有關法老的故事 他們至今還沒聽夠 故事被曬乾 過程都太短 時間可以倒退用我生命來換 過路的人都已謝完了幕 一個人吃飯往往會比中藥還再苦 他們只在乎cash oh cash oh cash 我視他們為trash oh trash oh trash 我想要跑到北上廣去蓋一整棟樓 我知道那些東西不急以後都會有
25,變成你,我不想當我自己我只想要變成你 沒煩惱也沒壓力能穿金的又戴銀 Cause I don't want to be me anymore 如果這是一種病那沒差讓我變成你 多麼想要成為一個有用的人 凡事只要放個放屁 都會是聚光的燈 哼個旋律全世界都幫你合聲 也太幸福了吧總是美夢成真 像是一種不能被拆穿的魔術 像是該死的馬力歐吃了蘑菇 可以飛高高也可以遁地 有用不完的口罩隔離瘟疫 你說的沒錯我就是羨慕嫉妒 別輕易挑戰我中二的程度 我不想當我自己我只想要變成你 沒煩惱也沒壓力能穿的金又戴銀 Cause I don't want to be me anymore 如果這是一種病那沒差讓我變成你 I'm not ok 成了名 聚光燈都在這裡 你想要 都拿去 我叫hater每天追你 複雜的交際真是叫人每天發病 不想被子彈打 I rather be nobody 我站上這高處卻從來沒有減少 使用的藥物 你說的沒錯我就是羨慕嫉妒 別輕易挑戰我中二的程度 我不想當我自己我只想要變成你 沒擁有就沒失去無知還比較開心 Cause I don't want to be me anymore 如果這是一種病那沒差讓我變成你 讓我變成你
26,改變,你說我變了你沒錯 我變得更沉著 扛在肩上的不只是 我一個人的夢 失去了太多現在懂 沒差眼淚不會白流 如果你也醒了就跟我走(就不再回首) 我不停改變 為了更好的自己 而且 我會不停改變 要做更屌的專輯 you know I won't be the same 感謝 所有存在的過去 才能成就全新的我自己 過去的我習慣帶著恨 面對未知的一切 but man I try to learn 憤怒總是阻擋著我看見真相 鐵板都踢到爛了也都不能怎樣 I never give up 只要你內心夠堅定全宇宙都會幫著你 就算這世界再醜陋 (別忘了Who you wanna be) 我不停改變 為了更好的自己 而且 我會不停改變 顛倒該死的命運 you know I won't be the same 感謝 所有傷害跟逆境 才能拼湊完整的我自己 (Woh)才能成為全新的我自己 It's time to let me free 我不停改變 為了更好的自己 而且 我會不停改變 要做更屌的專輯 you know I won't be the same 感謝 所有存在的過去 才能成就全新的我自己
27,靜止-滾石40 滾石撞樂隊 40團拚經典 (原唱:楊乃文),寂寞圍繞著電視垂死堅持在兩點半消失 多希望有人來陪我度過末日 空虛敲打著意志彷彿這時間已靜止 我懷疑人們的生活有所掩飾啊 啊~哈~垂死堅持啊 啊~哈~全都消逝啊 啊~哈~垂死堅持啊 衝動在瞬間消失夢被稀釋不停轉動著手指 我幻想美麗的生活何時開始 這日子一天的一天過我收起發霉的計劃 傷害妳傷害我克制不了慚愧的氣話 就像困在籠中的鳥兒啊 啊~哈~垂死堅持啊 啊~哈~全都消逝啊 啊~哈~垂死堅持啊 已靜止 垂死堅持啊 啊~哈~全都消逝啊 啊~哈~垂死堅持啊 啊~哈~全都消逝啊 垂死堅持啊 啊~哈~全都消逝啊 啊~哈~垂死堅持啊 啊~哈~全都消逝啊 寂寞圍繞著電視垂死堅持在兩點半消失 多希望有人來陪我度過末日 空虛敲打著意志彷彿這時間已靜止 我懷疑人們的生活有所掩飾啊
28,火星的班機,明知道我們並不屬於同一個世界 頑固的想要霸佔妳不管多麼危險 品嚐了禁果後的嘴開始貪得無厭 回過神妳怎麼已經離我好遠好遠 怎麼突然才發現不能沒有妳 地球的自轉失去動力 無法喘息的我知道就快要 來不及 到火星的最後一刻班機 也許是我活該不夠爭氣 想抱緊妳 如果還有最後一絲空氣 我願意 被困在妳童話裡的行星 那炙熱紅色包圍住了我冷漠的心 連瘋狗都能制伏的人也就只有妳 或許就是要感受到痛才算是刻苦銘心 怎麼突然才發現不能沒有妳 地球的自轉失去動力 無法喘息的我知道就快要 來不及 到火星的最後一刻班機 也許是我活該不夠爭氣 想抱緊妳 如果還有最後一絲空氣 我願意 被困在妳童話裡的行星 時間在倒退 退到遺忘不了的瞬間 全是妳的臉 和那些被遺忘的誓言 時間在倒退 退到遺忘不了的瞬間 全是妳的臉 停止不了的慚悔 快來不及 到火星的最後一刻班機 也許是我活該不夠爭氣 想抱緊妳 如果還有最後一絲空氣 我願意 被困在妳童話裡的行星 童話裡的行星
29,家,看不清 那些複雜的劇情 要深陷還是抽離 我還不太確定 搞不定 還是有一些疑慮 是不是我太著急 只能故作鎮定 深呼吸感受整個大地 把所有是非黑白都歸零 就這麼簡單 是如此簡單 看透了一切就不再難 從沒有離開 從沒有離開 繞了一大圈才明白 原來家一直都在 聽仔細 腦海沈睡的聲音 要墮落還是升起 其實早就確定 看仔細來自紅塵的騙局 要跟隨或帶領我來決定 喚醒腦海沈睡的聲音 把惡魔全都趕出去 從沒想過能如此清澈 仰望著星空終於知道了 就這麼簡單 是如此簡單 看透了一切就不再難 從沒有離開 從沒有離開 繞了一大圈才明白 原來家一直都在 這是來自覺醒的聲音 呼喚著行屍走肉的你 這是來自宇宙的聲音 讓你看清 這一 切 就這麼簡單 是如此簡單 看透了一切就不再難 從沒有離開 從沒有離開 繞了一大圈才明白 原來家一直都在 一直都在 原來家一直都在
30,偶像歌手,為了成就你 夢寐的快感 所有的愛恨 全部都買單 躲在人設後 的所有孤單 從沒被訂閱 也沒人在看 I will be Fine～ 像籠裡的飛鳥 一樣自由 無數的 放大鏡在 關注著我 I don't care I don't care 살래 난 이렇게 (譯: 我就是這樣活) 歡迎光臨 我 限量的美 領域沒展開 你當我是塑膠做的 去你的商業 這次不搞美化過的 Nothing can stop us now 林北要說出 咱的心裡話 全給我跪著 閉上嘴聽著 You can hate my song (在你兒子最愛的Playlist) You won't break my soul (Cuz we got 防彈的意志) We can sing along (Let me show you 反轉的術式) This is how we roll 為了成就你 夢寐的快感 所有的愛恨 全部都買單 躲在人設後 的所有孤單 從沒被訂閱 也沒人在看 I will be fine 背負著千萬支箭 貼上你愛的標籤 I will survive 來看吧 演戲吧 表裡不一的嘴 來看吧 니네오빠 (譯: 妳們的哥哥) 天菜變成了鬼 壓力扛下 尖叫聲就在那 Make some noise Make some noise You can hate my song (在你兒子最愛的Playlist) You won't break my soul (Cuz we got 防彈的意志) We can sing along (Let me show you 反轉的術式) This is how we roll 為了成就你 夢寐的快感 所有的愛恨 全部都買單 躲在人設後 的所有孤單 從沒被訂閱 也沒人在看 I will be fine 背負著千萬支箭 貼上你愛的標籤 I will survive Love me now Hate me now I don't care about you now Love me now Hate me now I don't care about you now 為了成就你 夢寐的快感 所有的愛恨 全部都買單 躲在人設後 的所有孤單 從沒被訂閱 也沒人在看 I will be fine 背負著千萬支箭 貼上你愛的標籤 I will survive 我不妥協Don't give a shot～ (Don't give don't give a shot...)
31,能給的只有這麼多,到底這算什麼 我連個決定的勇氣都這麼脆弱 所以還要多久 這種要與不要的結果誰能承受 拭不去的傷口隱隱作痛 好像在提醒我已經無路可走 你祈求上天渴望要自由 沒想到卻不斷把自己給淹沒 就放開我的手 才能抓得住天空singing wow~ 有天妳會懂 期待開花結果 當妳變成蝶以後singing wow~ 這是最後一次 我把槍支上膛後頂著自己的頭 別無選擇 就把故事停在最淒美的那一刻 拭不去的傷口隱隱作痛 好像在提醒我已經無路可走 你祈求上天渴望要自由 沒想到卻不斷把自己給淹沒 就放開我的手 才能抓得住天空singing wow~ 有天妳會懂 期待開花結果 當妳變成蝶以後singing wow~ 能給的就只有那麼多 X2 我看不見這是哪裡 沒有聲音只有一針針 插在我的心像是毒品 快要窒息 快給我空氣 我要呼吸 呼吸 呼吸 呼吸 呼吸 別再哭泣x4 放開我的手 才能抓得住天空singing wow~ 有天妳會懂 期待開花結果 當妳變成蝶以後singing wow~ 能給的就只有那麼多
32,If You Have Faith,我認為信念這兩個字 包含了對某事物的熱愛 也包含積極正向的心態 Even if you’re dealing with some hard times 也無法阻擋你 你可以去到很多你想像不到的地方 看到從未體會過的景色 認識很多不同種族 不同膚色 卻都熱愛著同一個culture的朋友 And you’ll realize Nothing can stop you from being you If you have faith
33,煩惱歌,為什麼這麼多煩惱 沒日沒夜的在跟腦袋單挑 Is this how it's like when we grow up 為什麼這麼多煩惱 煩到想一槍把腦袋給爆掉 就怕一切 都是庸人自擾 我看 著每個人都過得幸福快樂 但現實生活裡是不是和我一樣哪裡壞了 而且壞的太扯 我煩 人生不該只是追求那點關注 什麼都為了錢和地位變成規則下的玩物 Damn 這樣不太酷 只想要快樂的唱一首chill的歌 不要再打擾我 那些該死的聲音全都給我出去罰站 為什麼這麼多煩惱 沒日沒夜的在跟腦袋單挑 Is this how it's like when we grow up 為什麼這麼多煩惱 煩到想一槍把腦袋給爆掉 就怕一切都是庸人自擾 總有些人會在還來不及道別的時候離去 總有些日子一下天堂一下又是地獄如果 能都不在意 那就也沒有現在的我和你 如果我的歌 沒有人想聽 那根本就開不起什麼香檳 阿太多人聽 好像又不行 太商業太流行太沒有個性 要在乎他又在乎你 不如我先去死比較容易所以說 為什麼這麼多煩惱 沒日沒夜的在跟腦袋單挑 Is this how it's like when we grow up When I grow up 為什麼這麼多煩惱 沒日沒夜的在跟腦袋單挑 Is this how it's like when we grow up 為什麼這麼多煩惱 煩到想一槍把腦袋給爆掉 就怕一切都是庸人自擾 When I grow up
34,午夜夢迴,在這個發夢的早晨 酒精讓我還有點昏 看了很多美景和女人 空虛的夢還再沉 心就像沒孩子的樂園 像沒人穿過的玻璃鞋 訊息妳雖然已經回 但妳的人我看不見 多希望妳能留在我的身邊 感受我所有知覺我的體會 想念已穿越了海洋的平面 留下給我的只是午夜夢迴 在這個發夢的早晨 酒精讓我還有點昏 看了很多美景和女人 空虛的夢還再沉 心就像沒孩子的樂園 像沒人穿過的玻璃鞋 訊息妳雖然已經回 但妳的人我看不見 多希望妳能留在我的身邊 感受我所有知覺我的體會 想念已穿越了海洋的平面 留下給我的只是午夜夢迴 午夜夢迴 午夜夢迴 午夜夢迴 已經快忘記這是第幾天 已經睡了不知道多少遍 已經忘記妳身上的香味 Oh~ 已經快忘記這是第幾天 已經睡了不知道多少遍 已經忘記妳身上的香味 Oh~ 已經快忘記這是第幾天 已經忘記妳身上的香味
35,黑夜的星,是怎麼了 像是淹沒在人群中冰冷的河 卻又看透些什麼 不確定 用盡全力之後又掉入另一段失憶 還沒清醒 就像是迷失在黑夜的星 需要愛和衝動 有時候多少也會犯錯 是誰能夠 填滿心裡面那破碎的缺口 習慣痛猖狂的作弄 期盼哪天能真的自由請祢指引我 前方的路有多麼的遼闊 我看著 那些不屬於我生命中的過客 在啃食著靈魂 喔別擔心 告訴你不管再怎麼努力 都沒意義快點放棄 我們是迷失在黑夜的星 需要愛和衝動 有時候多少也會犯錯 是誰能夠 填滿心裡面那破碎的缺口 習慣痛猖狂的作弄 期盼哪天能真的自由請祢指引我 前方的路還有多麼的遼闊 人生怎麼就是那麼難 還有多少的是要去煩 心已經傷透了又怎麼辦 你說你說 你給個答案 我從哪裡來 什麼時候離開 誰又浪費了愛 誰已不再期待 關於什麼未來 我還不明白 我還不明白 不明白 什麼事也不明白 需要愛和衝動 有時候多少也會犯錯 是誰能夠 填滿心裡面那破碎的缺口 習慣痛猖狂的作弄 期盼哪天能真的自由 請祢指引我 前方的路還有多麼的遼闊 還有多麼的遼闊 還有多麼的遼闊
36,別忘了那天我們醒著,或許我們都疲倦 卻不願閉上眼 不到最後一刻不鬆懈 守護著心愛的誰 肩並肩寫下最淒美的夜 就算是傷痕累累 但也從沒有抱怨 為了什麼變得無堅不摧 犧牲自己去奉獻 既然前進了也沒理由後退 當我們眼淚落下的時候 才能夠明白活著的理由 在未來還有很多的戰鬥 準備好就走 黑暗中那把不滅的燈火 引領我穿越寂寞的沙洲 如果妳難過 就抓緊我 Hey you keep your pure soul Love can Save the end of the world 妳值得這份榮譽 別輕易懷疑自己 擁有那麼一點的勇氣 卻能對抗著命運 沒有關係 我們陪你 直到光明 當我們眼淚落下的時候 才能夠明白活著的理由 在未來還有很多的戰鬥 準備好就走 黑暗中那把不滅的燈火 引領我穿越寂寞的沙洲 如果妳難過 就抓緊我 就抓緊我
37,插曲,你詭譎的笑容裡藏著 一種到不了的秘境 腦波太弱的無力抗拒 想要知道你所有秘密 直到明白彼此的差距 不捨得讓誰傷了心 心裡默默答應了自己 會讓你帶著笑容離去 這是青春最美的插曲 一首為你寂寞造的句 沒關係我會陪你 直到最後一小節的那個尾音 沒關係我會隱藏脆弱 不讓你發現那樣的我 所謂命運的幾分鐘 留下每次七分痛 就在說了再見以後 這是青春最美的插曲 一首為你寂寞造的句 沒關係我會陪你 直到最後一小節的那個尾音 期盼哪天我們會相遇在某個十字路口 放下所有的遺憾或許再愛一次 一切都會不同 這是青春最美的插曲 一首為你寂寞造的句 沒關係我會陪你 直到最後一小節的那個尾音 這是我們最美的終曲 一首為你寂寞造的句 沒關係我會陪你 直到最後一小節的那個尾音
38,重感情的廢物 (大嘻哈時代Version),我們已經長大 笑著曾經說過的夢話 有幾分能作響 承諾不再偉大 屬於同個宇宙的愛人 終究會離開吧 我翻著那些舊照片 手裡握著冷冰孤寂的獎盃 你已經越來越遙遠 剩下曲終人散總結 你要我該怎麼去面對 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 跳著叫著分享 才發現房間裡沒人 重曝的畫面分不清真假 回憶是唯一的媒人 你說約在頂端看我 如今又在那座山頭 不求和你接近 只求越來越像 遺落在暗房 門忘了闔起 就算我畫龍點睛也是沒了太陽的月亮 曝了光 不能再和你 一起把沙漏倒過來 放 一起看夜半的鐘擺 盪 把你愛的唱片借來 唱 把你的思想放硯台 上 穿著你同款的圍兜 看見你酒瓶也沒收 背影被距離給圍剿 喚起你 換取你提起的嘴角 無面的咆哮 堵住了嘴 新月的刨刀 囑咐著每 一遍 沒寄件的 竟變得龜裂 被見縫插上了劇毒的吹箭 生命的輕 和思念的重 看不見聽不見 除非你在我身邊 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 我就是重感情的廢物 是你在耳邊低語 自溺還沒能清醒 餘溫也結出冰晶 不斷錯當那是星星 受夠自己在這裡抱怨這個世界 反正不管再怎麼靠背也都不會改變 除非你陪我浪費 如果少了你怎麼算是幸福 我討厭一個人開香檳慶祝 再美的畫面對我來說只是一片荒蕪 說好到最後一哩路 不想接受就這樣的結束 我就是重感情的廢物
39,懦弱 (成為傳說版) [《傳說對決 2024 傳說日》主題曲],請讓我竭盡所有 來召喚最後的怒吼 才明白 這就是 傳說之中的你和我 或許是天注定選擇了我 把整片森林的 英雄 碎片拼湊 不斷 清空 輸出的愛不夠 不斷 沈默 試煉的傷和痛 努力到最後 鮮血不能白流 請讓我竭盡所有 來召喚最後的怒吼 命運他 怎能憑空 被哪條路給左右 我試著 度過無盡的荒漠 穿越海洋 到世界盡頭 這就是 傳說之中的你和我 原來 這是團隊中 因為信念 還有認同 才會 平行線變成交叉線 成為最傳奇的英雄 請讓我竭盡所有 來召喚最後的怒吼 命運他 怎能憑空 被哪條路給左右 我試著 度過無盡的荒漠 穿越海洋 到世界盡頭 這就是 傳說 (命中注定) 傳說之中的 你和我
40,還是該說再見,有時候突然感覺 世界不停的在變 轉眼間消失不見 妳那張純真的臉 是誰悄悄發現 那從前的從前 窗外風景的眷戀 有妳我的笑和淚 站在陌生的路邊 期盼未來再遇見 停止不了錯覺 它會開始在暈眩 當妳離去一瞬間 強忍不住淚水 不爭氣的為妳而崩洩 就算世界已經毀滅 剩下的不只是思念 還記得那年我們瘋癲 想對抗整個世界 殊不知夢想開始幻滅 才發現我好愚昧 感覺就快崩潰 請給我力量作對 當妳離去一瞬間 強忍不住淚水 不爭氣的為妳而崩洩 就算世界已經毀滅 剩下的不只是思念 當妳消失我面前 藏不住的傷悲 把我的身體四分五裂 沒有妳世界不完美 剩下我一個人慚愧 還是該說再見 當妳離去一瞬間 強忍不住淚水 不爭氣的為妳而崩洩 就算世界已經毀滅 剩下的不只是思念 當妳消失我面前 藏不住的傷悲 把我的身體四分五裂 沒有妳世界不完美 剩下我一個人慚愧 還是該說再見
41,冷身操,眼皮不管多用力閉上 沒有辦法不一直想 逞強最後一點 輕輕地 夜晚揉成一團 一頭空心病的獸 凝視夢在螢幕裡閃 嗚咽為安全感 又放不下 逃跑的渴望 不需要誰來可憐我 shall we wait for the day back to birth as we were 忍一下 管自己怎麼想 let me fall hope you grow like the trash as they are 我當作 迴圈重複之前 作一組冷身操 所有範例教著如何飛 沒人懂得面對墜毀 手中驕傲一擲 才發現 原來是負累 每天都是未來的準備 每段過去仍然反悔 明天不會更好 只會更像昨天 不需要誰來可憐我 shall we wait for the day back to birth as we were 忍一下 管自己怎麼想 let me fall hope you grow like the trash as they are 我當作 迴圈重複之前 作一組冷身操
42,安怎講 (feat. 阿夜),我的腦袋 怎麼都停不下來 是不是代表 我思考從不間斷 不用做作 不用假裝虛偽笑容 我已開始活出真正的我 上工的時候 盡情享受快活 讓準備好的機會 不做白工 請你請你請你請你不免驚 讓自己放肆的靈魂 可以找得到家 請你請你請你請你用心聽 聽自己心內的聲 甘真正甲人同款 當你學會了獨立思考 你就是你自己的老闆 你就是你自己榜樣的榜樣 Go Be yourself 怕什麼 不需在別人的影子下生活 向前走 不要回頭 下定決心 就不顧一切去做 Be yourself 廢話 從來不囉唆 想要什麼 就自己去追求 Be yourself 不爽就直接說 我管你貓的安怎講 我的腦袋 怎麼都停不下來 是不是代表 我思考從不間斷 不用做作 不用假裝虛偽笑容 我已開始活出真正的我 上工的時候 盡情享受快活 讓準備好的機會 不做白工 請你請你請你請你不免驚 讓自己放肆的靈魂 可以找得到家 請你請你請你請你用心聽 聽自己心內的聲 甘真正甲人同款 當你學會了獨立思考 你就是你自己的老闆 你就是你自己榜樣的榜樣 Go Be yourself 怕什麼 不需在別人的影子下生活 向前走 不要回頭 下定決心 就不顧一切去做 Be yourself 廢話 從來不囉唆 想要什麼 就自己去追求 Be yourself 不爽就直接說 我管你貓的安怎講 說出的話 都自己擔 敢做就要敢當 傷人的錯 不要再犯 就在原諒中學會成長 成長後學會飛翔 Be yourself 怕什麼 不需在別人的影子下生活 向前走 不要回頭 下定決心 就不顧一切去做 Be yourself 廢話 從來不囉唆 想要什麼 就自己去追求 Be yourself 不爽就直接說 我管你貓的安怎講
43,Kiss,聽說長在嘴裡的寄生蟲 會讓人發瘋 會發瘋 空虛藏在你攻擊的話裡 讓我真的好同情 好同情 不明白沒有錯亂說不太好 別讓自己變得越來越無腦 Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣還夠不夠撒嬌 衝突等著你跟我發生 我頭髮白了 都白了 抗拒外在所有的引力 你根本是個龐克 超龐克 不明白沒有錯亂說不太好 別讓自己變得越來越無腦 Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣還夠不夠撒嬌 其實也不用再多說 我還是過得很快樂 別浪費時間活在 永無止盡的循環 You're really such a lonely guy Anyway you just made me laugh Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣 Come on and give me a kiss I know you really wanna 上帝祂為你瘋狂 撒旦也會心一笑 你說這樣還夠不夠撒嬌
44,我們的歌（中華職棒2016年度主題曲）,誰出生就懂了 要經過多少挫折 雖然不能保證沒事了 因為明天還有未知在等 既然我們不是超人 超人也不會是萬能 但只要堅持就對了 好運來前總有壞事發生 相信他就會有可能 你的手要抓穩了 故事要啟程 勝利就在我們的狂吼聲 然後被人記得 這是我們的歌 代表著永不寂寞的人 你就是最閃耀的靈魂 怕了就別再問 時間只會等勇敢的人 終結你所有的不可能 誰出生就醒了 要經過多少回合 可能會失去些純真 為的不過只是學會生存 如果這都只是過程 應該要留下什麼 才足夠證明我活著 不願這一生就這樣過了 不甘心就不要再等 你的手要抓穩了 故事要啟程 勝利就在我們的狂吼聲 然後被人記得 這是我們的歌 代表著永不寂寞的人 你就是最閃耀的靈魂 怕了就別再問 時間只會等勇敢的人 終結你所有的不可能 這是我們的歌 代表著永不寂寞的人 你就是最閃耀的靈魂 怕了就別再問 時間只留給勇敢的人 終結你所有的不可能 唱著我們的歌 代表你不是孤獨一個 點燃你最閃耀的靈魂 怕了就別再問 時間是永遠不會等人 終結所有畏懼的可能
45,改變,你說我變了你沒錯 我變得更沉著 扛在肩上的不只是 我一個人的夢 失去了太多現在懂 沒差眼淚不會白流 如果你也醒了就跟我走(就不再回首) 我不停改變 為了更好的自己 而且 我會不停改變 要做更屌的專輯 you know I won't be the same 感謝 所有存在的過去 才能成就全新的我自己 過去的我習慣帶著恨 面對未知的一切 but man I try to learn 憤怒總是阻擋著我看見真相 鐵板都踢到爛了也都不能怎樣 I never give up 只要你內心夠堅定全宇宙都會幫著你 就算這世界再醜陋 (別忘了Who you wanna be) 我不停改變 為了更好的自己 而且 我會不停改變 顛倒該死的命運 you know I won't be the same 感謝 所有傷害跟逆境 才能拼湊完整的我自己 (Woh)才能成為全新的我自己 It's time to let me free 我不停改變 為了更好的自己 而且 我會不停改變 要做更屌的專輯 you know I won't be the same 感謝 所有存在的過去 才能成就全新的我自己
