Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
0.0018356305,0.9889803,0.0018381017,0.0018380113,0.0018370564,0.0018368798,0.0018340402
0.0016865953,0.98987216,0.001688895,0.0016875842,0.0016886276,0.0016866433,0.0016894372
0.0029290095,0.9824311,0.002927329,0.0029285091,0.0029301092,0.0029283448,0.002925645
0.85460657,0.00060446624,0.0006052215,0.00060495065,0.0006055636,0.0006052539,0.142368
0.89180976,0.0008147201,0.00081447646,0.0008154847,0.0008156183,0.024568379,0.08036152
0.08615918,0.14051563,0.00070695556,0.0007071179,0.2089962,0.5622083,0.00070660847
0.5873801,0.001351112,0.0013529065,0.0013527061,0.0013529031,0.0013523692,0.4058579
0.00061505736,0.9963063,0.00061619724,0.0006161376,0.0006157902,0.0006159409,0.00061456213
0.0010621133,0.0010629469,0.99362916,0.0010620169,0.0010608204,0.0010618328,0.0010611638
0.0010608233,0.99363,0.0010628384,0.001063299,0.001061329,0.0010617202,0.0010599962
0.0015778629,0.9138242,0.0015776572,0.07829045,0.0015763701,0.0015770446,0.0015764454
0.20251009,0.0013923717,0.0013930214,0.0013928742,0.0013921928,0.5958988,0.19602063
0.49271387,0.0008635661,0.0008636472,0.4532671,0.0008648307,0.0102908155,0.041136194
0.0012456095,0.98855525,0.0012482933,0.0052110157,0.0012472754,0.0012470454,0.0012455083
0.62215704,0.00075106195,0.018785125,0.0007518607,0.13577017,0.030565906,0.19121884
0.41066146,0.00054285885,0.00054318586,0.10275316,0.059259403,0.0005435954,0.42569634
0.001138156,0.0011394331,0.0011388769,0.24100605,0.48293257,0.2715063,0.0011385824
0.0011380786,0.23666112,0.0011377835,0.7576463,0.0011393655,0.0011394196,0.0011378861
0.00083372835,0.16942796,0.0008336356,0.82601106,0.0012252487,0.0008342667,0.00083405623
0.002205404,0.9867582,0.002207295,0.002210574,0.002206272,0.0022072243,0.0022050722
0.0010615878,0.0010615215,0.0010620182,0.29350847,0.001061592,0.0010612627,0.70118356
0.59361655,0.0012796624,0.018979259,0.0012814137,0.0012812713,0.0014634008,0.38209844
0.0006083457,0.08023483,0.00060773833,0.00060840044,0.3678104,0.5495225,0.0006078122
0.0021437784,0.21495152,0.19621602,0.002144474,0.21193627,0.37046394,0.0021440003
0.32928818,0.0004978393,0.00049759896,0.05732451,0.01651679,0.0004986828,0.59537643
0.77354026,0.0009947997,0.00099543,0.21619141,0.0009965227,0.0009969707,0.006284537
0.104331,0.00042650796,0.00042657967,0.022342868,0.18469983,0.00042706262,0.68734616
0.41259465,0.001577243,0.0015761598,0.0015763382,0.29763368,0.0015766027,0.28346536
0.5776534,0.0015752724,0.0015757564,0.21727854,0.05473131,0.14560787,0.0015778516
0.44159806,0.0013156097,0.0013157856,0.0013172446,0.0013168023,0.22311205,0.33002445
0.3424477,0.005728935,0.005728617,0.0057413736,0.62887543,0.005737909,0.0057400586
0.0011669107,0.0011666658,0.001166424,0.14076583,0.0011666295,0.0011657998,0.8534017
0.67684036,0.0005513033,0.00055155373,0.061775718,0.07972003,0.18000916,0.0005518608
0.04893735,0.23110439,0.00081107806,0.16368537,0.1581471,0.3965038,0.00081094954
0.3902842,0.0023166137,0.0023171813,0.31423482,0.05980842,0.2287241,0.0023146027
0.0017505413,0.0017513834,0.001751387,0.5446397,0.44660667,0.0017505296,0.0017497871
0.2847286,0.0023530626,0.0023538575,0.5216304,0.1842302,0.0023525713,0.0023512796
0.0012264194,0.54721713,0.0012270062,0.4466496,0.0012260067,0.0012268885,0.0012269125
0.00072161603,0.04117017,0.0007211057,0.5899197,0.3483175,0.018429,0.0007209217
0.0018186998,0.0018185639,0.0018173294,0.0018167673,0.9890938,0.0018177577,0.001817144
0.0014915958,0.9910463,0.0014950867,0.0014929846,0.0014918927,0.0014921449,0.0014899722
0.0010497838,0.55671895,0.001047596,0.42479786,0.0010494088,0.014288171,0.0010481891
0.0008853987,0.40699533,0.000885709,0.0353122,0.09905684,0.4559789,0.0008856397
0.90433884,0.001508948,0.0015097024,0.0015108761,0.0015103803,0.0015097563,0.08811151
0.0006897233,0.53927165,0.00068994873,0.27268636,0.00069028995,0.18528217,0.0006898375
0.42281017,0.0022404823,0.27921927,0.28900328,0.0022418823,0.0022421714,0.002242717
0.05494951,0.0006826285,0.0006825103,0.78054327,0.12498287,0.00068336946,0.03747585
0.77527285,0.0015449134,0.0015444729,0.13318464,0.0015439452,0.08536707,0.0015421544
0.0011581599,0.0011565919,0.0011568109,0.95546204,0.0011563613,0.0011567617,0.038753264
0.5739915,0.080617614,0.0018165193,0.0018169793,0.19919781,0.1407438,0.0018158364
0.0007172393,0.031476792,0.16581474,0.5528906,0.24766526,0.000717661,0.0007177177
0.5535944,0.0011655402,0.0011657084,0.20417228,0.100314766,0.02063866,0.118948616
0.0014084501,0.42741185,0.0014083324,0.5655514,0.0014067856,0.0014075813,0.0014056247
0.0005011646,0.282149,0.0005013345,0.71534365,0.0005016649,0.00050159584,0.0005015818
0.0015071953,0.9909503,0.0015111442,0.0015092648,0.0015077939,0.0015082265,0.0015061195
0.0008963695,0.26408574,0.00089693855,0.49094298,0.24138437,0.00089704426,0.00089659524
0.0008009697,0.51255,0.000801757,0.44925588,0.0008018043,0.03498871,0.00080087373
0.0009377124,0.0996757,0.26749974,0.30757242,0.063001655,0.2603753,0.0009374832
0.002393277,0.26014322,0.0023906056,0.7278971,0.0023903474,0.0023906487,0.002394801
0.001612308,0.328922,0.0016118024,0.18386574,0.06297074,0.41940835,0.0016090085
0.43124256,0.5634395,0.0010636325,0.0010638706,0.0010634111,0.001064255,0.0010627768
0.37090465,0.43334633,0.001393018,0.0013935957,0.0013940468,0.19017595,0.0013923878
0.52218884,0.0008296739,0.00082843314,0.2059053,0.0069880467,0.26243153,0.00082811917
0.2811978,0.11674389,0.0022785703,0.12363298,0.0022794711,0.47159073,0.0022765736
0.002352233,0.32732853,0.0023512642,0.0023518926,0.0023521292,0.66091275,0.0023511753
0.0016497402,0.31817144,0.0016493424,0.18681784,0.4884117,0.0016507551,0.0016491632
0.8417367,0.15347825,0.0009561728,0.0009571376,0.0009569074,0.00095754705,0.0009573473
0.00082941854,0.9950214,0.00083010684,0.000830388,0.0008297752,0.000830223,0.0008286884
0.16415584,0.0011857011,0.0011855457,0.7321761,0.098924406,0.0011857483,0.0011866504
0.0018893207,0.0018886218,0.2012946,0.6628753,0.12827772,0.0018890627,0.0018853515
0.0014962015,0.561518,0.0014950078,0.43100405,0.0014954522,0.0014955363,0.0014956763
0.0005329503,0.9522688,0.0005333684,0.0005335441,0.04506554,0.00053322845,0.0005325443
0.0017722171,0.47314522,0.0017712087,0.40541878,0.114352114,0.0017702205,0.0017701831
0.16613093,0.0009315535,0.00093031296,0.25532565,0.00093206496,0.0009320007,0.5748175
0.0017513916,0.0017502002,0.0017496244,0.001749157,0.36157018,0.6296798,0.0017497013
0.0007357123,0.99558675,0.0007355318,0.00073573587,0.0007357018,0.00073582696,0.00073478755
0.32646987,0.0012467584,0.0012460126,0.001247799,0.001248393,0.4639537,0.20458746
0.5059256,0.0015957757,0.0015940422,0.02028677,0.32795882,0.0015938226,0.14104514
0.78504163,0.0011956831,0.0011951892,0.00119532,0.0011959852,0.20898257,0.0011935945
0.50898635,0.0023923295,0.0023895137,0.1093307,0.002394141,0.1634089,0.21109805
0.62286407,0.11979157,0.0026573045,0.2467149,0.0026580447,0.0026583986,0.0026556686
0.000788948,0.25946808,0.04107719,0.60885423,0.000788457,0.088235214,0.0007878368
0.017131893,0.0021743842,0.0021718713,0.106556736,0.3369662,0.26056045,0.27443847
0.00097048015,0.14190699,0.00096978125,0.3000567,0.5541573,0.00097013,0.00096855505
0.069117166,0.26529834,0.00081516465,0.08567863,0.23665336,0.21365534,0.128782
0.0026085959,0.5331603,0.002609607,0.0026074136,0.0026106162,0.45379487,0.0026085507
0.0021433868,0.32014042,0.0021439951,0.23192629,0.4020879,0.03941477,0.002143179
0.0010099796,0.48639354,0.2986639,0.2109029,0.0010093356,0.0010101314,0.001010125
0.0047073546,0.037801623,0.00067382073,0.7811277,0.1655599,0.000673834,0.009455757
0.036399934,0.00075164525,0.00075152406,0.0007517148,0.55810344,0.40249076,0.0007509641
0.013828772,0.64920586,0.0023519825,0.002353763,0.32755485,0.0023546072,0.0023501825
0.8699343,0.11600413,0.002811999,0.002812345,0.002814931,0.002814763,0.0028074677
0.0005859129,0.9964876,0.00058516255,0.0005855318,0.0005854037,0.0005855773,0.0005848124
0.11783841,0.36089548,0.00045258334,0.3761984,0.09746527,0.046697333,0.00045252356
0.20594083,0.18479289,0.12739927,0.18077713,0.0024754445,0.2961434,0.002471013
0.0015764878,0.75729984,0.23481914,0.0015765589,0.0015758362,0.0015769972,0.0015751834
0.07300973,0.0006102302,0.5529404,0.0006102774,0.08480833,0.28741172,0.00060930656
0.31361157,0.0010549247,0.0010546665,0.56292415,0.034694817,0.0010557339,0.085604176
0.13120034,0.64609545,0.0019924114,0.2147311,0.0019935183,0.0019950005,0.0019922229
0.09371919,0.53398323,0.0020502233,0.0020504433,0.0020500014,0.36409876,0.0020481301
0.0011397706,0.42898625,0.0011393088,0.34225824,0.0011395362,0.22419812,0.0011387664
0.0015608331,0.3629013,0.0015594445,0.0015601859,0.10982157,0.5210344,0.0015622484
0.0012930281,0.07539542,0.0012940717,0.0012926196,0.3158531,0.60358036,0.0012914047
0.06480111,0.099755414,0.034443583,0.19081044,0.41538376,0.18201008,0.012795676
0.029509885,0.00087480916,0.00087417336,0.12586871,0.298371,0.5436262,0.0008753009
