Link,Title
https://news.tvbs.com.tw/life/2534781,擋風玻璃遭泥石流砸破　一家六口困隧道
https://news.tvbs.com.tw/life/2534395,土石流砸車阻路！　蘇花和中-崇德路段搶通
https://news.tvbs.com.tw/life/2524236,蘇花公路遇雨又塌「多處土石流」！晚間單線雙向通車
https://news.tvbs.com.tw/local/2524100,蘇花公路又爆土石流！泥流落石阻擋「道路中斷」　搶修後已恢復通行
https://news.tvbs.com.tw/life/2512949,花東連假攏嘸人！地震嚇跑遊客對半砍　台東市區冷清畫面曝
https://news.tvbs.com.tw/life/2510860,蘇花崇德隧道口又坍 搶修後單線雙向通行
https://news.tvbs.com.tw/life/2510882,蘇花又土石流！崇德段「1天2坍」　水淹台鐵軌道雙向停駛
https://news.tvbs.com.tw/local/2510350,蘇花公路又塌！土石流淹半個輪胎高2人受困　今緊急搶通
https://news.tvbs.com.tw/local/2509285,連轟3槍逃花蓮！忘蘇花「有管制」狼狽落網
https://news.tvbs.com.tw/life/2505329,大雨路況多　力行產業道路、中橫便道、蘇花公路
https://news.tvbs.com.tw/local/2504863,大雨又落石！蘇花崇德段「雙向阻斷」　公路局拚今夜搶通
https://news.tvbs.com.tw/life/2504446,暫停營業！花蓮金三角商圈　多店「出租出售」
https://news.tvbs.com.tw/local/2499009,逞英雄！男載女友持電擊器硬闖蘇花管制站　下場慘了
https://news.tvbs.com.tw/local/2498925,蘇花公路夜間禁通行！男持電擊器逼退管制員硬闖　開到隧道口被逮
https://news.tvbs.com.tw/local/2494439,花蓮強震遇蘇花管制　警急搭火車趕赴桃機逮毒蟲
https://news.tvbs.com.tw/local/2485753,大清水隧道「輪胎堆」狂燒　無法通行駕駛苦等
https://news.tvbs.com.tw/local/2485473,蘇花大清水隧道施工廢胎突起火！黑色濃煙狂飄封路管制
https://news.tvbs.com.tw/life/2482221,花蓮5.8地牛翻身！崇德山區「落石坍方」煙塵飄散　駭人畫面曝
https://news.tvbs.com.tw/life/2474773,花蓮小農北上　拚生計！養蜂業：減產、業績剩1成
https://news.tvbs.com.tw/entertainment/2460520,影音／秀琴陳致遠蘇花遇意外！　「車撞落石」曝驚險過程
https://news.tvbs.com.tw/entertainment/2459633,陳致遠、秀琴開蘇花公路爆意外！車撞「落石」爆胎　還原驚險過程
https://news.tvbs.com.tw/entertainment/2459145,蘇花公路爆意外！林秀琴、陳致遠遭「落石撞車」　砰一聲驚險過程曝
https://news.tvbs.com.tw/life/2458791,業績下滑剩3成！　震後美食名店「免排隊」
https://news.tvbs.com.tw/local/2451134,心碎！　聯結車司機因強震身亡　家屬殯儀館痛哭
https://news.tvbs.com.tw/life/2449759,被搖醒別下床！睡夢中遇地震離開床「受傷機會高」　先做3事保命
https://news.tvbs.com.tw/life/2449605,花蓮7.2強震驚悚片！落石如「子彈狂射」　路瞬遭塵土吞噬
https://news.tvbs.com.tw/local/2449265,目擊蘇花駕駛遭石擊斃　駕駛這舉動「超暖」
https://news.tvbs.com.tw/life/2448393,日治舊橋成蘇花便橋　王國材：老前輩上場
https://news.tvbs.com.tw/life/2448025,收假北返車流大匯集！　南迴公路屏東段6日晚間大塞車
https://news.tvbs.com.tw/local/2447767,蘇花公路4/6　18時單向通行搶修畫面曝！直擊排隊車流「駕駛睡整夜」
https://news.tvbs.com.tw/life/2447781,花蓮地震／蘇花公搶通！日治舊橋仍牢固「加裝鋼架」開放通行
https://news.tvbs.com.tw/life/2447658,強震效應！阿里山花季遊客減少8千人　小琉球碼頭排長龍
https://news.tvbs.com.tw/life/2447620,花蓮地震／下清水橋震斷一旁日治舊橋沒事　網：百年來都沒進步？
https://news.tvbs.com.tw/local/2447391,影音／蘇花公路最新空拍影像　崇德、匯德路段「落石掩沒」
https://news.tvbs.com.tw/local/2447331,影音／求生畫面曝！轎車0403地震公路遇大落石　「前後夾殺」進退兩難
https://news.tvbs.com.tw/life/2447032,海上看蘇花！　「大面積走山、坍塌」修繕時間長
https://news.tvbs.com.tw/life/2446644,空拍影像曝！太魯閣成孤島　壯麗美景禿了
https://news.tvbs.com.tw/life/2446639,花蓮路斷「繞一大圈」　送蔬果運費多6000元
https://news.tvbs.com.tw/life/2446485,花蓮地震／用路人注意！3路段預警性封閉　「蘇花、中橫」拚搶通
https://news.tvbs.com.tw/local/2446200,8外籍遊客遇強震困山區1夜　「全身灰」獲救
https://news.tvbs.com.tw/life/2445893,多路斷坍塌！大型機具進駐　挺進蘇花搶修
https://news.tvbs.com.tw/life/2445915,花蓮強震／地震毀出遊！墾丁、小琉球「一房難求」　業者接不來了
https://news.tvbs.com.tw/local/2445804,嚇！蘇花嚴重崩塌「超巨落石砸毀車」　崇德山崩他差點被活埋
https://news.tvbs.com.tw/politics/2445800,花蓮地震／蘇花下清水橋搶修是關鍵　蔡英文：臨時便道計4月10日開放小客車通行
https://news.tvbs.com.tw/local/2445729,花蓮地震／30秒驚險瞬間！蘇花強震　他飆速倒車仍被「巨石夾殺」
https://news.tvbs.com.tw/life/2445684,花蓮地震／千萬別跳車！破解逃生謠言　開車遇地震「3絕招保命」
https://news.tvbs.com.tw/life/2445616,花蓮地震／花蓮多處坍方受阻！蘇花及中橫3路段預警封閉
https://news.tvbs.com.tw/life/2445620,花蓮地震／7.2百年最強！專家曝「恐怖隱沒帶」40年沒震：規模恐達8
https://news.tvbs.com.tw/local/2445143,花蓮強震大清水隧道1死1傷　匯德隧道「整輛壓扁」釀1死
https://news.tvbs.com.tw/local/2445175,就在震央旁！宜蘭公路斷、圍牆倒　太平山休園3日
https://news.tvbs.com.tw/local/2444974,影音／7.2強震蘇花土石傾瀉　崇德隧道口山崩空拍曝
https://news.tvbs.com.tw/local/2444887,影音／7.2強震蘇花公路多處坍方　「賓士躲不過」2隧道滾巨石
https://news.tvbs.com.tw/life/2444947,快訊／花蓮強震影響　國五清明連假取消匝道封閉
https://news.tvbs.com.tw/life/2444914,花蓮0403地震蘇花公路全線封閉　理想大地飯店：可延3個月
https://news.tvbs.com.tw/life/2444923,快訊／快訂票！台北-花蓮今再加開1來回班機　起飛時間曝
https://news.tvbs.com.tw/life/2444832,強震襲花蓮「連假恐掀退訂」！觀光署：飯店可全額退或延期
https://news.tvbs.com.tw/local/2444631,頻頻餘震！　大清水隧20m路斷鋼筋外露坍塌
https://news.tvbs.com.tw/local/2444706,快訊／旅遊勝地成重災區！8外籍客受困蘇花公路、2人走麓古道失聯
https://news.tvbs.com.tw/local/2444516,快訊／蘇花公路多處坍崩　1大貨車駕駛遭落石擊中當場慘死
https://news.tvbs.com.tw/local/2444456,快訊／全台7.2強震！蘇花公路多處崩塌「巨石砸路面」　空拍畫面曝
https://news.tvbs.com.tw/local/2444277,快訊／花蓮7.2強震「整條路斷裂」！地板巨洞大坑　傷亡不明
https://news.tvbs.com.tw/local/2440645,20萬賒帳起殺機！拜把兄弟慘死鎚下　警方「這句話」破心房
https://news.tvbs.com.tw/local/2434868,嚇破膽！蘇花斷崖撿貝殼驚見腐爛男屍　上衣印海陸兩棲偵搜隊
