Topic 0	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6
0.22050361	0.001048019	0.001048071	0.001047824	0.18056835	0.5947388	0.001045349
0.000885899	0.000886163	0.15420437	0.37249535	0.000885662	0.056421295	0.41422126
0.000759034	0.27549693	0.000758846	0.38529944	0.000759416	0.33616808	0.00075824
0.000623766	0.1400389	0.000623363	0.4991928	0.000624214	0.35827395	0.000623042
0.00091354	0.009987999	0.000913395	0.3308604	0.000913276	0.15910575	0.4973056
0.38236323	0.002435217	0.002431339	0.5085067	0.002432881	0.099398516	0.002432108
0.33081916	0.001380208	0.001380391	0.15181679	0.1776474	0.33557552	0.001380508
0.00079311	0.11314945	0.000791899	0.11886454	0.026532827	0.7390766	0.000791536
0.17403741	0.000805718	0.000805059	0.037639543	0.00080658	0.7850996	0.000806079
0.000566714	0.9873319	0.000567384	0.009832548	0.000567392	0.000567685	0.000566341
0.001303764	0.09697411	0.001303677	0.086332425	0.001305033	0.81147766	0.001303352
0.000801267	0.9951894	0.000802724	0.000802025	0.000801824	0.0008022	0.000800572
0.000562575	0.13279496	0.000562799	0.55979955	0.000562781	0.3051547	0.000562624
0.000783305	0.9952225	0.000783863	0.000861213	0.000783031	0.000782981	0.000783077
0.000468654	0.9971877	0.000468881	0.000469209	0.000468513	0.000468721	0.000468332
0.000464182	0.99708176	0.000464314	0.000597747	0.000464032	0.000464112	0.000463831
0.000989362	0.8965599	0.04038865	0.000990123	0.000989466	0.000990351	0.05909216
0.33184355	0.09741983	0.000569541	0.032875463	0.12324291	0.41347995	0.000568796
0.000350683	0.9978962	0.00035067	0.000351075	0.000350413	0.000350576	0.000350379
0.000873796	0.3664967	0.000874516	0.6291329	0.000874371	0.000874171	0.000873479
0.000982007	0.99410343	0.000983055	0.000983339	0.00098312	0.000983212	0.000981805
0.001010513	0.4634519	0.001010184	0.3017027	0.12876187	0.10305302	0.001009806
0.000811139	0.39246735	0.30669764	0.026244607	0.000811013	0.20633969	0.06662855
0.001730061	0.649323	0.001729949	0.13428691	0.080827095	0.13037218	0.001730747
0.000755787	0.2665633	0.000755235	0.439599	0.037482485	0.2540888	0.000755431
0.001302043	0.99217933	0.001304119	0.001305335	0.001303468	0.001303818	0.001301838
