,平均值,平均全年保養維修費用(元),,平均每月耗用油(燃)料費、充電費,
,使用縣市別,臺北市,花蓮縣,臺北市,花蓮縣
日期,,,,,
101年,,13714,10534,3676,3050
103年,,14469,10093,3078,2596
105年,,14953,9887,3086,2297
107年,,16404,11943,3136,2515
109年,,17837,11977,3003,2652
111年,,19727,13063,3305,2732
資料來源：交通部「自用小客車使用狀況調查」。,,,,,
