,平均年齡,平均年齡,
,使用縣市別,臺北市,花蓮縣
日期,,,
101年,,47.4,47
103年,,48.2,48.7
105年,,49.7,51.3
107年,,49.8,52.9
109年,,48.4,51.4
111年,,51,52.2
資料來源：交通部「自用小客車使用狀況調查」。,,,
