,,平均每星期使用天數(天),,平均一天行駛時間(分鐘),
,使用縣市別,臺北市,花蓮縣,臺北市,花蓮縣
日期,,,,,
100年,,4.8,4.8,66.6,48.7
103年,,4.6,4.9,60.4,49.1
105年,,4.7,5.2,58.8,55.3
107年,,4.8,5.3,54.2,50.5
109年,,5.1,5.7,60.1,52.2
111年,,4.8,4.7,61.3,45.7
資料來源：交通部「機車使用狀況調查」。,,,,,
