UNIQID	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
r174	43.0	2.6	1.0	2.75	45.0	55.0
r136	41.0	3.2	1.2	2.25	44.0	52.0
r258	42.0	2.4	1.6	3.25	45.0	46.0
r330	42.0	3.4	1.6	3.75	50.0	45.0
r176	40.0	3.0	1.8	3.25	50.0	50.0
r87	39.0	2.0	1.0	2.75	50.0	50.0
r161	43.0	2.8	1.4	2.5	50.0	50.0
r351	44.0	3.0	1.0	2.5	50.0	50.0
r132	44.0	2.4	1.0	2.0	50.0	50.0
r97	42.0	3.0	1.4	3.5	50.0	50.0
r14	45.0	3.8	1.4	3.5	50.0	50.0
r420	29.0	4.0	1.0	3.0	65.0	40.0
r157	34.0	4.0	2.2	2.5	58.0	39.0
r124	36.0	2.6	1.8	2.75	60.0	45.0
r234	52.0	3.2	1.0	3.5	60.0	40.0
r221	45.0	4.0	1.0	3.0	65.0	50.0
r109	47.0	2.2	1.0	3.75	65.0	45.0
r123	37.0	2.8	1.8	3.25	60.0	21.0
r167	44.0	3.0	1.0	3.5	62.0	29.0
r359	40.0	4.0	2.0	4.0	60.0	30.0
r303	29.0	3.0	2.0	2.75	30.0	30.0
r61	24.0	3.2	1.8	3.5	30.0	30.0
r308	32.0	4.0	2.4	3.25	30.0	20.0
r199	32.0	4.0	2.6	2.75	20.0	35.0
r464	35.0	3.8	1.6	3.5	20.0	35.0
r247	32.0	3.2	1.0	3.25	20.0	27.0
r316	37.0	4.0	1.8	3.0	30.0	35.0
r195	40.0	3.0	1.4	3.25	28.0	35.0
r69	37.0	3.0	1.6	3.0	30.0	40.0
r335	41.0	4.0	2.4	3.0	30.0	30.0
r312	40.0	4.0	1.0	3.25	29.0	30.0
r77	38.0	4.0	1.0	3.75	30.0	30.0
r460	36.0	2.4	1.0	2.5	30.0	30.0
r37	33.0	2.8	1.6	2.75	30.0	30.0
r283	40.0	3.6	2.0	2.75	41.0	26.0
r348	35.0	3.4	2.2	2.75	40.0	30.0
r75	39.0	3.8	1.6	3.5	40.0	30.0
r353	35.0	3.6	2.4	3.25	50.0	35.0
r300	32.0	3.0	2.0	3.25	50.0	30.0
r310	32.0	2.8	1.0	3.0	46.0	44.0
r365	38.0	3.0	1.0	2.5	40.0	50.0
r427	37.0	2.8	1.0	3.0	45.0	45.0
r59	37.0	3.6	1.8	2.75	40.0	45.0
r295	40.0	2.4	1.0	3.0	40.0	40.0
r158	42.0	2.8	1.4	2.5	40.0	40.0
