	feature	feature_idx	coef	se	t	p	r2
0	(intercept)	-1	1.0174040349913647			0.0	0.6579420340461846
1	x116	106	-0.01113684928584027	1.385743800061243e-05	-803.6730372055843	0.0	0.6579420340461846
2	x84	76	0.0008412819510127869	1.3856896187470458e-05	60.71214936094292	0.0	0.6579420340461846
3	x36	33	-0.0005485354526536811	1.3864567232385567e-05	-39.56383516770605	0.0	0.6579420340461846
4	x501	394	-0.0005862689942201672	1.385779863676448e-05	-42.3060696426059	0.0	0.6579420340461846
5	x41	38	-0.0007058278121997401	1.3854654754355583e-05	-50.94517508477389	0.0	0.6579420340461846
6	x317	259	-0.0007521843613824675	1.3856267398311512e-05	-54.28477523998467	0.0	0.6579420340461846
7	x292	239	-0.0008795841154719947	1.386026263508893e-05	-63.4608548646994	0.0	0.6579420340461846
8	x528	407	-0.0009886405105174914	1.3860789919426618e-05	-71.32641907600521	0.0	0.6579420340461846
9	x576	444	-0.0011306992700299587	1.38564312435857e-05	-81.60104504205383	0.0	0.6579420340461846
10	x391	311	-0.0011846318807178836	1.3864641925996877e-05	-85.4426596114712	0.0	0.6579420340461846
11	x281	229	-0.0012046595939946682	1.386241421468663e-05	-86.90113968159913	0.0	0.6579420340461846
12	x474	371	-0.001201716963736339	1.3864550254343615e-05	-86.6755099654137	0.0	0.6579420340461846
13	x32	29	0.000932206650596197	1.3856738490237147e-05	67.27460803658734	0.0	0.6579420340461846
14	x118	108	-0.001197055865477665	1.3856165261925475e-05	-86.39156959010752	0.0	0.6579420340461846
15	x550	418	-0.001773711318507751	1.3856067944229694e-05	-128.0097157178279	0.0	0.6579420340461846
16	x23	20	-0.0018069250689557409	1.3856103857940095e-05	-130.40643224684703	0.0	0.6579420340461846
17	x390	310	-0.0019855952976927096	1.3864932984598476e-05	-143.20987341939264	0.0	0.6579420340461846
18	x527	406	-0.0022547532602449237	1.3860133521267044e-05	-162.6790432274856	0.0	0.6579420340461846
19	x578	446	-0.0024596971877551893	1.3857780796524276e-05	-177.4957494184145	0.0	0.6579420340461846
20	x39	36	-0.002517688125018265	1.3858517773675265e-05	-181.6708082447822	0.0	0.6579420340461846
21	x4	3	-0.002615522051503764	1.3864044486696224e-05	-188.6550532936899	0.0	0.6579420340461846
22	x318	260	-0.0027429972103727115	1.3857849984974985e-05	-197.93815154203105	0.0	0.6579420340461846
23	x247	207	-0.0031847622266930153	1.3861133095559374e-05	-229.76204071752997	0.0	0.6579420340461846
24	x91	82	-0.003367721080920141	1.3861980164845272e-05	-242.94660942170896	0.0	0.6579420340461846
25	x563	431	-0.006904985438892567	1.3856479749128694e-05	-498.3217645395655	0.0	0.6579420340461846
26	x7	5	-0.008774005265136178	1.3862588388378705e-05	-632.9269122995536	0.0	0.6579420340461846
27	x148	137	-0.0016190450616729497	1.3860815015224838e-05	-116.8073493437851	0.0	0.6579420340461846
28	x113	103	0.0010683156410597762	1.385542581413807e-05	77.10449721218005	0.0	0.6579420340461846
29	x291	238	0.0009104593602892161	1.3861793343259401e-05	65.68121005295082	0.0	0.6579420340461846
30	x489	384	0.001134351902654138	1.386151319080497e-05	81.83463717414416	0.0	0.6579420340461846
31	x378	302	0.007724213748174201	1.385556196476578e-05	557.4810872209018	0.0	0.6579420340461846
32	x561	429	0.005247443376890088	1.385911232430928e-05	378.62766778258384	0.0	0.6579420340461846
33	x585	453	0.005018601064918816	1.3864662018373517e-05	361.9706746740845	0.0	0.6579420340461846
34	x64	58	0.004633810845518843	1.3855756180113445e-05	334.43218726449203	0.0	0.6579420340461846
35	x419	327	0.004162715912822653	1.3862580729429846e-05	300.28434056187905	0.0	0.6579420340461846
36	x22	19	0.004013648909771658	1.3858682097799177e-05	289.61259674244525	0.0	0.6579420340461846
37	x253	213	0.003927126045404921	1.3861977931056582e-05	283.30199809411965	0.0	0.6579420340461846
38	x525	404	0.003096303233874015	1.3860697178790003e-05	223.38726500800107	0.0	0.6579420340461846
39	x153	141	0.002994833339459721	1.386001500277317e-05	216.0772076264349	0.0	0.6579420340461846
40	x127	117	0.002857845451344544	1.386051874562598e-05	206.18603847322856	0.0	0.6579420340461846
41	x368	299	0.0027671162120411863	1.3860735527279772e-05	199.6370399388354	0.0	0.6579420340461846
42	x40	37	0.002268690499299911	1.3858293341699411e-05	163.70634127605405	0.0	0.6579420340461846
43	x430	337	0.0021638088128492776	1.3859364855203349e-05	156.1261165613155	0.0	0.6579420340461846
44	x488	383	0.002062649222101523	1.3865752674321949e-05	148.758547087123	0.0	0.6579420340461846
45	x268	217	0.0011108229959962018	1.3857406985951359e-05	80.16095631183772	0.0	0.6579420340461846
46	x169	155	0.0019577976839385246	1.3863661939345131e-05	141.21793307598526	0.0	0.6579420340461846
47	x95	86	0.0015183262510283162	1.385551249700732e-05	109.58282859304285	0.0	0.6579420340461846
48	x106	96	0.0014728615976276976	1.385749588850831e-05	106.28627347088779	0.0	0.6579420340461846
49	x367	298	0.001454425584322347	1.386765331133162e-05	104.8789980301785	0.0	0.6579420340461846
50	x552	420	0.0014538801738541757	1.385999971288425e-05	104.89756161413548	0.0	0.6579420340461846
51	x8	6	0.0014442029026329529	1.3862399360723606e-05	104.18130837615449	0.0	0.6579420340461846
52	x384	304	0.0014217143785822982	1.3863953151412197e-05	102.54754636396625	0.0	0.6579420340461846
