	feature	feature_idx	coef	se	t	p	r2
0	(intercept)	-1	0.35709405103684805			0.0	0.644556636965187
1	x91	82	-0.035870651279914345	0.00010256967884205637	-349.71983616279397	0.0	0.644556636965187
2	x474	371	-0.0195537226355879	0.0001025937933330673	-190.59362170289774	0.0	0.644556636965187
3	x16	13	-0.03224399473906395	0.000102668233183932	-314.06009180364725	0.0	0.644556636965187
4	x125	115	0.14043299116155403	0.00010264415578688906	1368.153793900576	0.0	0.644556636965187
5	x378	302	0.08116529404085279	0.0001026947639588451	790.3547455776788	0.0	0.644556636965187
6	x36	33	-0.0355190307264842	0.0001025992936863589	-346.19176653461346	0.0	0.644556636965187
7	x118	108	-0.036337365185230175	0.00010259203930120313	-354.19283438304785	0.0	0.644556636965187
8	x41	38	-0.03057674649373318	0.00010258710893144897	-298.05642065773833	0.0	0.644556636965187
9	x20	17	0.050035552796003524	0.00010263050680356789	487.5309920447949	0.0	0.644556636965187
10	x103	93	-0.0498426385917166	0.00010257512215978672	-485.9135192066754	0.0	0.644556636965187
11	x578	446	-0.02512268291675993	0.00010258203610970977	-244.90333658313858	0.0	0.644556636965187
12	x411	320	-0.0002927581188374333	0.00010261243108199418	-2.853047294079798	0.004330262073047443	0.644556636965187
13	x112	102	-0.00020029385750674043	0.00010266054390119648	-1.9510305507392316	0.0510535511027794	0.644556636965187
14	x17	14	0.00018579075459020412	0.00010259584888581032	1.8108993356738061	0.07015658543093187	0.644556636965187
15	x74	67	-0.00017571603221473614	0.00010259119162631704	-1.7127789377354388	0.08675337139128446	0.644556636965187
16	x92	83	0.0001570985075812642	0.00010256139705922061	1.5317508544716194	0.125584086007534	0.644556636965187
17	x313	258	-0.00014429450730890135	0.00010260433223369209	-1.406319832385396	0.15962932896432522	0.644556636965187
18	x407	316	0.00014140132345753784	0.00010264178705275604	1.3776194619922204	0.16832096304395536	0.644556636965187
19	x347	281	-0.00012214005066103637	0.00010262677271101604	-1.1901382790723356	0.2339921884467881	0.644556636965187
20	x418	326	0.00012200682742530152	0.00010259643547385495	1.1891916796309459	0.23436438909293017	0.644556636965187
21	x138	128	0.00011168747384221979	0.00010267493785878996	1.0877773697396815	0.27669353332453483	0.644556636965187
22	x8	6	0.0001089336938124386	0.00010259992525606806	1.0617326819738198	0.2883571863045532	0.644556636965187
23	x162	148	0.00010470479886423737	0.00010264059551016143	1.0201109838053461	0.3076759515089867	0.644556636965187
24	x51	46	9.79686395762536e-05	0.00010263689047568669	0.9545168323222055	0.3398222085055155	0.644556636965187
25	x458	362	9.312605960310819e-05	0.00010259407936848809	0.9077137801356594	0.3640295708565827	0.644556636965187
26	x276	225	-8.826096333231649e-05	0.00010264451049337049	-0.8598702737056455	0.38986065943116166	0.644556636965187
27	x497	391	8.494244619762498e-05	0.00010264737331022742	0.8275169978378941	0.407944190568033	0.644556636965187
28	x445	352	8.382924451201475e-05	0.00010261555795218834	0.8169252907154031	0.41397122109270246	0.644556636965187
29	x216	191	8.260783212243455e-05	0.00010261349812943894	0.8050386511356546	0.4207974716981596	0.644556636965187
30	x297	242	7.72517157512808e-05	0.00010258384349554325	0.753059284180915	0.4514143784937741	0.644556636965187
31	x556	424	7.5822409551232e-05	0.00010260481978002168	0.7389751252795971	0.45992218883634894	0.644556636965187
32	x386	306	-7.374889914729759e-05	0.00010255370177439316	-0.7191246914668867	0.4720641790413289	0.644556636965187
33	x583	451	-7.284191595583608e-05	0.00010264146452218162	-0.7096733887706208	0.47790678074078363	0.644556636965187
34	x550	418	-7.145993301222585e-05	0.0001025927010439927	-0.696540126978265	0.4860907176471926	0.644556636965187
35	x491	386	6.625203447090297e-05	0.00010261908876350065	0.6456112139486018	0.5185312471764993	0.644556636965187
36	x117	107	-6.523293688106607e-05	0.00010260166079389199	-0.6357883135255201	0.5249144782987553	0.644556636965187
37	x554	422	-6.504687382815858e-05	0.0001025939148319897	-0.6340227286840641	0.5260660616751456	0.644556636965187
38	x431	338	-6.015208010257073e-05	0.00010265439237544137	-0.5859669392671918	0.5578977981640066	0.644556636965187
39	x66	60	-5.653580598321249e-05	0.00010256528455325167	-0.5512177558856108	0.5814844712126632	0.644556636965187
