	feature	feature_idx	coef	se	t	p	r2
0	(intercept)	-1	0.9201150282155094			0.0	0.5283883437591561
1	x571	439	0.004268326173949868	0.00010836708252674241	39.38766343457245	0.0	0.5283883437591561
2	x72	65	0.004421003420221843	0.0001083348116322083	40.80870547161651	0.0	0.5283883437591561
3	x276	225	0.0044640525759183595	0.00010830225632766596	41.218463283096085	0.0	0.5283883437591561
4	x91	82	0.004181075990306958	0.00010833305990970675	38.59464501225936	0.0	0.5283883437591561
5	x341	276	0.004158559816006665	0.00010828782398555336	38.40283849975097	0.0	0.5283883437591561
6	x590	458	-0.04485516240946004	0.00010833326110217404	-414.0479290765104	0.0	0.5283883437591561
7	x216	191	-0.004167325779944458	0.0001083792648848214	-38.45131985692307	0.0	0.5283883437591561
8	x85	77	-0.004508555647393564	0.00010833539070673901	-41.616646397649525	0.0	0.5283883437591561
9	x149	138	-0.004540711168937983	0.00010838430562587991	-41.894544996316846	0.0	0.5283883437591561
10	x56	50	-0.0046085685562700035	0.00010832340963330338	-42.54453005006894	0.0	0.5283883437591561
11	x110	100	-0.005020535709940681	0.0001083344953138906	-46.34290948043906	0.0	0.5283883437591561
12	x494	388	-0.005058587460635161	0.00010834686596632909	-46.688821273401814	0.0	0.5283883437591561
13	x564	432	-0.005507432044638055	0.00010835092288022723	-50.82958131077531	0.0	0.5283883437591561
14	x145	134	-0.005793533131274845	0.00010831174762374983	-53.489425278227905	0.0	0.5283883437591561
15	x579	447	0.00536351971161254	0.00010835184766399146	49.50095293478782	0.0	0.5283883437591561
16	x419	327	-0.006132100701951675	0.00010831230807848563	-56.61499427662655	0.0	0.5283883437591561
17	x557	425	-0.007378348980199687	0.00010838816351788519	-68.07338311421968	0.0	0.5283883437591561
18	x550	418	-0.00775810455539766	0.00010834988240084044	-71.60233480177254	0.0	0.5283883437591561
19	x93	84	-0.008097333656015676	0.00010831642909271791	-74.75628326968229	0.0	0.5283883437591561
20	x102	92	-0.010593814354323002	0.00010834948147417164	-97.77448133748896	0.0	0.5283883437591561
21	x551	419	-0.01101654585213664	0.00010834938272210617	-101.67612934530332	0.0	0.5283883437591561
22	x15	12	-0.012483841105440027	0.0001083075961844175	-115.2628397751857	0.0	0.5283883437591561
23	x112	102	-0.014643679109411558	0.00010831162050435734	-135.19952006278447	0.0	0.5283883437591561
24	x545	413	-0.015019262080238438	0.00010839185211995928	-138.5644934235125	0.0	0.5283883437591561
25	x36	33	-0.019829031497498643	0.00010834368374766535	-183.0197276998709	0.0	0.5283883437591561
26	x103	93	-0.02220839509366496	0.00010832463921369622	-205.01702341102285	0.0	0.5283883437591561
27	x28	25	-0.0265446510506013	0.00010835478840205615	-244.979030849158	0.0	0.5283883437591561
28	x40	37	-0.02608266134354604	0.00010832848854409417	-240.77379546313264	0.0	0.5283883437591561
29	x287	234	-0.027255337240877198	0.00010836394490664889	-251.51665772556137	0.0	0.5283883437591561
30	x117	107	-0.03925651455806409	0.00010839484272241303	-362.1621986075075	0.0	0.5283883437591561
31	x355	288	-0.006814897134031184	0.00010837990033189573	-62.87971397982167	0.0	0.5283883437591561
32	x320	262	0.004867033412446848	0.00010834307420946892	44.922423034046425	0.0	0.5283883437591561
33	x420	328	-0.0487805123223368	0.0001083432770227141	-450.24032559131473	0.0	0.5283883437591561
34	x51	46	0.005005347950862823	0.00010837475999569451	46.185550501442165	0.0	0.5283883437591561
35	x583	451	0.02492114770399634	0.00010832459024130931	230.05993051513732	0.0	0.5283883437591561
36	x559	427	0.022711996182185185	0.00010831136973219649	209.69170862063106	0.0	0.5283883437591561
37	x82	74	0.006863239707879217	0.0001083047763517564	63.36968635241464	0.0	0.5283883437591561
38	x424	331	0.01815315505856773	0.00010833400431280749	167.566547306344	0.0	0.5283883437591561
39	x248	208	0.01674514988004869	0.00010831716857039703	154.5936816947514	0.0	0.5283883437591561
40	x20	17	0.01468547150335374	0.00010836825746904319	135.51451177988017	0.0	0.5283883437591561
41	x101	91	0.014506855460590072	0.00010835927964724263	133.87737079663412	0.0	0.5283883437591561
42	x8	6	0.013374942785323675	0.00010835779551891223	123.43313853214445	0.0	0.5283883437591561
43	x456	360	0.0378717285627314	0.00010837663209961596	349.44552002613483	0.0	0.5283883437591561
44	x288	235	0.011927307082180552	0.0001083310836416819	110.10050560955854	0.0	0.5283883437591561
45	x497	391	0.010986737588853868	0.00010836817139320936	101.38343618431054	0.0	0.5283883437591561
46	x17	14	0.008653392363063986	0.00010833559078227607	79.87580351553036	0.0	0.5283883437591561
47	x434	341	0.005015614540290159	0.00010832165566280864	46.302971548949735	0.0	0.5283883437591561
48	x337	272	0.008570477523123465	0.00010835091446179674	79.09926340442023	0.0	0.5283883437591561
49	x303	248	0.008437539834026227	0.00010834064275012124	77.87972841814052	0.0	0.5283883437591561
50	x22	19	0.006465535309052556	0.00010827930223394211	59.711645491430005	0.0	0.5283883437591561
51	x252	212	0.006330818164923336	0.00010839358705479574	58.405836885192706	0.0	0.5283883437591561
52	x581	449	0.006695385952362033	0.00010829335500705845	61.826378469164936	0.0	0.5283883437591561
53	x95	86	0.01131253123602903	0.00010832091771798298	104.43533413815392	0.0	0.5283883437591561
54	x92	83	0.03798929925561094	0.00010832372647494262	350.7015544226001	0.0	0.5283883437591561
55	x54	48	0.019606279993301508	0.00010837666218608664	180.90869009821338	0.0	0.5283883437591561
56	x196	173	0.006965770457161506	0.00010831521376742437	64.31017596584803	0.0	0.5283883437591561
57	x153	141	0.006392105789387673	0.00010832350530388048	59.00940678992861	0.0	0.5283883437591561
58	x386	306	0.05556856575701855	0.0001083235695719262	512.9868409674347	0.0	0.5283883437591561
59	x34	31	0.06523807655501	0.00010839572995907057	601.8509823186155	0.0	0.5283883437591561
60	x446	353	0.0052280440979785535	0.00010836031415650215	48.24685253706276	0.0	0.5283883437591561
61	x347	281	0.005510728707365298	0.0001083650882972613	50.85335871501864	0.0	0.5283883437591561
