	feature	feature_idx	coef	se	t	p	r2
0	(intercept)	-1	0.9722508403516387			0.0	0.5355731891847554
1	x281	229	-0.004727369801425392	8.251140686468139e-05	-57.29353044698744	0.0	0.5355731891847554
2	x581	449	-0.004409864262850213	8.252931351723876e-05	-53.43391426525169	0.0	0.5355731891847554
3	x446	353	-0.004338849719477748	8.25351048447192e-05	-52.56974868622049	0.0	0.5355731891847554
4	x49	45	-0.004280928668973366	8.254810832683137e-05	-51.859803401235496	0.0	0.5355731891847554
5	x9	7	-0.004085960334007081	8.251659564909147e-05	-49.51683115215949	0.0	0.5355731891847554
6	x38	35	-0.004030757763434627	8.255698038468946e-05	-48.82394855834805	0.0	0.5355731891847554
7	x528	407	-0.0036370633291985966	8.253942546958649e-05	-44.06455834295521	0.0	0.5355731891847554
8	x280	228	-0.0038018530391423565	8.250199081349965e-05	-46.08195513410891	0.0	0.5355731891847554
9	x414	323	-0.0034599400529429854	8.254330711777553e-05	-41.91666379451247	0.0	0.5355731891847554
10	x79	71	-0.003682966210639542	8.251398828590838e-05	-44.634446681672685	0.0	0.5355731891847554
11	x118	108	-0.0038083602152503707	8.253301219811392e-05	-46.143477789332415	0.0	0.5355731891847554
12	x332	267	-0.003573014541010751	8.250488708832063e-05	-43.30670178586968	0.0	0.5355731891847554
13	x550	418	-0.0034715479290540366	8.253428932979532e-05	-42.06188672906873	0.0	0.5355731891847554
14	x249	209	-0.0033705299930546617	8.248984621327675e-05	-40.85993789272181	0.0	0.5355731891847554
15	x583	451	-0.0035234797580718227	8.253601568528727e-05	-42.69020898109469	0.0	0.5355731891847554
16	x580	448	-0.003253048446424774	8.252182372103265e-05	-39.42046236668007	0.0	0.5355731891847554
17	x317	259	-0.0032762255197935543	8.250767636914736e-05	-39.70812976401617	0.0	0.5355731891847554
18	x90	81	-0.0031267423003961746	8.254542161893249e-05	-37.879051788367505	0.0	0.5355731891847554
19	x91	82	-0.0033142104968975276	8.255919277512863e-05	-40.14344599909836	0.0	0.5355731891847554
20	x1	0	-0.030310482128588973	8.254578041333454e-05	-367.19602112687255	0.0	0.5355731891847554
21	x386	306	0.003115939671708756	8.252048838096957e-05	37.75958835002893	0.0	0.5355731891847554
22	x18	15	-0.005088388170920443	8.25191721042143e-05	-61.6631025393016	0.0	0.5355731891847554
23	x318	260	-0.005288835939972832	8.251955473997198e-05	-64.09191077967549	0.0	0.5355731891847554
24	x420	328	-0.005776285948543275	8.249197972887058e-05	-70.02239451069555	0.0	0.5355731891847554
25	x36	33	-0.005943292516889985	8.247571798946098e-05	-72.06111885742466	0.0	0.5355731891847554
26	x58	52	-0.02779072656504899	8.246814107488928e-05	-336.9874257237379	0.0	0.5355731891847554
27	x7	5	-0.026772805511000784	8.252927057100767e-05	-324.4037579123595	0.0	0.5355731891847554
28	x103	93	-0.01204441371399937	8.252024787990114e-05	-145.95707142722898	0.0	0.5355731891847554
29	x41	38	-0.011915910215753106	8.254671731436271e-05	-144.3535321989091	0.0	0.5355731891847554
30	x563	431	-0.011739252853718268	8.251097539945606e-05	-142.27504640304684	0.0	0.5355731891847554
31	x144	133	-0.010465696255959119	8.251974771361939e-05	-126.82656631815924	0.0	0.5355731891847554
32	x247	207	-0.010081176466719528	8.245316392112413e-05	-122.2654897313986	0.0	0.5355731891847554
33	x390	310	-0.00929366859128133	8.251514328415387e-05	-112.62985461077271	0.0	0.5355731891847554
34	x578	446	-0.008753162282921981	8.252106765947662e-05	-106.07184966440238	0.0	0.5355731891847554
