	cluster	feature	feature_idx	select_count	select_rate	beta_n	beta_mean	beta_se	beta_mean_minus_se	beta_mean_plus_se
0	0	x28	25	50	1.0	50	0.1633281636751925	5.1227727812742185e-05	0.16327693594737977	0.16337939140300525
1	0	x134	124	50	1.0	50	0.12482483466429395	4.8778112817511334e-05	0.12477605655147644	0.12487361277711145
2	0	x501	394	50	1.0	50	0.11385861958193268	4.280703729676648e-05	0.11381581254463591	0.11390142661922945
3	0	x125	115	50	1.0	50	0.1061893064669495	3.284564783498484e-05	0.10615646081911452	0.10622215211478449
4	0	x291	238	50	1.0	50	0.09523763270829769	4.0517306979308494e-05	0.09519711540131838	0.095278150015277
5	0	x585	453	50	1.0	50	0.0745607501778155	4.473001721340709e-05	0.07451602016060209	0.0746054801950289
6	0	x4	3	50	1.0	50	0.0588599729128458	3.9937378178185274e-05	0.058820035534667615	0.05889991029102399
7	0	x561	429	50	1.0	50	0.05387484686043992	3.977791204087693e-05	0.05383506894839904	0.053914624772480796
8	0	x100	90	50	1.0	50	0.04644674259252553	4.879083025241073e-05	0.04639795176227312	0.046495533422777936
9	0	x129	119	50	1.0	50	0.04443758124273169	4.152427893637164e-05	0.044396056963795325	0.04447910552166806
10	0	x253	213	50	1.0	50	0.042448121946437684	3.823176172226935e-05	0.042409890184715415	0.04248635370815995
11	0	x29	26	50	1.0	50	0.03574904674860068	4.310871124256467e-05	0.035705938037358116	0.035792155459843246
12	0	x484	379	50	1.0	50	0.03474206902863727	3.7390608382759026e-05	0.03470467842025451	0.034779459637020026
13	0	x525	404	50	1.0	50	0.03348816458985779	4.2689897712986356e-05	0.0334454746921448	0.033530854487570774
14	0	x430	337	50	1.0	50	0.03203194535984711	4.1244097924242276e-05	0.03199070126192287	0.03207318945777135
15	0	x114	104	50	1.0	50	0.030275763853588777	4.3984475202672504e-05	0.030231779378386104	0.03031974832879145
16	0	x224	198	50	1.0	50	0.02679244368696675	4.0022104592906944e-05	0.026752421582373842	0.026832465791559658
17	0	x553	421	50	1.0	50	0.022633830813848777	3.76608314345373e-05	0.02259616998241424	0.022671491645283315
18	0	x419	327	50	1.0	50	0.02136667535173077	4.0235857383308424e-05	0.02132643949434746	0.02140691120911408
19	0	x560	428	50	1.0	50	0.01968844973216959	4.119722222946258e-05	0.019647252509940125	0.019729646954399053
20	0	x107	97	50	1.0	50	0.0186648635817522	4.0314334970893844e-05	0.018624549246781304	0.018705177916723093
21	0	x223	197	50	1.0	50	0.018640979145946656	4.039938021957705e-05	0.018600579765727078	0.018681378526166234
22	0	x552	420	50	1.0	50	0.018265075265597903	4.0490921140191305e-05	0.01822458434445771	0.018305566186738096
23	0	x163	149	50	1.0	50	0.016102535425204883	3.959061544236448e-05	0.01606294480976252	0.016142126040647246
24	0	x434	341	50	1.0	50	0.016081419195611072	4.0886352272831404e-05	0.01604053284333824	0.016122305547883905
25	0	x161	147	50	1.0	50	0.015477201862664351	3.933058667912648e-05	0.015437871275985225	0.015516532449343477
26	0	x102	92	50	1.0	50	0.015412014007638537	3.217625449251225e-05	0.015379837753146025	0.01544419026213105
27	0	x527	406	50	1.0	50	0.01422153790678262	4.041742825396168e-05	0.01418112047852866	0.014261955335036582
28	0	x554	422	50	1.0	50	0.012013530947938866	3.974756665969726e-05	0.011973783381279168	0.012053278514598564
29	0	x20	17	50	1.0	50	0.011368348239006397	4.201973661020236e-05	0.011326328502396194	0.011410367975616599
30	0	x153	141	50	1.0	50	0.011145911734646963	3.692096406976298e-05	0.0111089907705772	0.011182832698716725
31	0	x127	117	50	1.0	50	0.009681318934299459	3.672511871000566e-05	0.009644593815589454	0.009718044053009463
32	0	x393	313	50	1.0	50	0.007334614562386132	4.495892111969837e-05	0.007289655641266434	0.00737957348350583
33	0	x391	311	50	1.0	50	-0.002894675945159469	4.6476450816683436e-05	-0.0029411523959761527	-0.0028481994943427855
34	0	x486	381	50	1.0	50	-0.0041180705938108995	3.444471623020762e-05	-0.004152515310041107	-0.004083625877580692
35	0	x88	79	50	1.0	50	-0.006992015183371579	4.2930558116620286e-05	-0.0070349457414882	-0.006949084625254958
36	0	x118	108	50	1.0	50	-0.010271203818984125	3.968914364475605e-05	-0.010310892962628881	-0.010231514675339368
37	0	x390	310	50	1.0	50	-0.0108625578049075	4.9759757276171704e-05	-0.010912317562183672	-0.010812798047631328
38	0	x282	230	50	1.0	50	-0.010926684506763963	4.406203455060298e-05	-0.010970746541314566	-0.01088262247221336
39	0	x474	371	50	1.0	50	-0.012800673360163838	3.8748353310202217e-05	-0.01283942171347404	-0.012761925006853636
40	0	x332	267	50	1.0	50	-0.014492317106366486	3.802524869385559e-05	-0.014530342355060342	-0.01445429185767263
41	0	x247	207	50	1.0	50	-0.01459366561292885	4.202030878500019e-05	-0.01463568592171385	-0.014551645304143851
42	0	x80	72	50	1.0	50	-0.015489164582050564	4.090808602606046e-05	-0.015530072668076624	-0.015448256496024503
43	0	x92	83	50	1.0	50	-0.018249067353882324	3.654888684489796e-05	-0.01828561624072722	-0.018212518467037427
44	0	x512	396	50	1.0	50	-0.018630844831494426	3.4148563755248524e-05	-0.018664993395249675	-0.018596696267739177
45	0	x279	227	50	1.0	50	-0.020052421053569684	3.689262380929501e-05	-0.02008931367737898	-0.020015528429760388
46	0	x175	161	50	1.0	50	-0.023793795046460602	3.8512893831874164e-05	-0.023832307940292476	-0.023755282152628728
47	0	x36	33	50	1.0	50	-0.024436524788102015	3.561850195770556e-05	-0.02447214329005972	-0.02440090628614431
48	0	x49	45	50	1.0	50	-0.02456447616712758	4.037161548656099e-05	-0.024604847782614143	-0.02452410455164102
49	0	x200	177	50	1.0	50	-0.02483456001828199	5.133337295167711e-05	-0.024885893391233666	-0.024783226645330312
50	0	x384	304	50	1.0	50	-0.025068024511008546	3.5091277335687164e-05	-0.025103115788344232	-0.02503293323367286
51	0	x578	446	50	1.0	50	-0.026322098890319293	3.318289500070414e-05	-0.026355281785319998	-0.026288915995318587
52	0	x563	431	50	1.0	50	-0.030881331151211673	3.747146378776844e-05	-0.030918802614999442	-0.030843859687423904
53	0	x116	106	50	1.0	50	-0.031731120383612754	3.2915045333514455e-05	-0.03176403542894627	-0.03169820533827924
54	0	x420	328	50	1.0	50	-0.03245420642665979	3.538577687229052e-05	-0.03248959220353208	-0.0324188206497875
55	0	x110	100	50	1.0	50	-0.041984671869394904	4.900842371438088e-05	-0.042033680293109284	-0.041935663445680525
56	0	x103	93	50	1.0	50	-0.04463424625915438	3.76061350321049e-05	-0.04467185239418649	-0.044596640124122275
57	0	x113	103	50	1.0	50	-0.045977914919058456	4.7139694492551755e-05	-0.046025054613551004	-0.04593077522456591
58	0	x518	398	50	1.0	50	-0.045981258069367995	4.0020778864164224e-05	-0.04602127884823216	-0.04594123729050383
59	0	x32	29	50	1.0	50	-0.04899143143932574	3.6377354066951926e-05	-0.04902780879339269	-0.048955054085258784
60	0	x91	82	50	1.0	50	-0.049523251399599635	4.698185156550009e-05	-0.049570233251165136	-0.049476269548034135
61	0	x120	110	50	1.0	50	-0.056965199467618424	3.933326439630479e-05	-0.05700453273201473	-0.05692586620322212
62	0	x7	5	50	1.0	50	-0.07622989054458713	4.324885766441383e-05	-0.07627313940225154	-0.07618664168692273
63	0	x141	131	50	1.0	50	-0.10530530054864345	4.098185335726108e-05	-0.10534628240200071	-0.1052643186952862
