	feature	feature_idx	coef	abs_coef	t	p	r2_model	df_resid	rng_seed	n_block	round_id	threshold	q_used	rank_p	cluster	x0_indices	p_oof_center	p_final_center
0	x103	93	-0.25917377589125745	0.25917377589125745	-862.4360380597705	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	1	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
1	x489	384	-0.21614045558307335	0.21614045558307335	-718.8529647371779	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	2	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
2	x36	33	-0.16354393130885175	0.16354393130885175	-544.3213905464079	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	3	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
3	x551	419	-0.1475253805091596	0.1475253805091596	-490.62661469436557	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	4	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
4	x557	425	-0.14670270805531654	0.14670270805531654	-487.69177915365566	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	5	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
5	x369	300	-0.13775204412203731	0.13775204412203731	-458.4123134118443	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	6	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
6	x546	414	-0.0876657032601638	0.0876657032601638	-291.83637691675864	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	7	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
7	x320	262	0.08366299760461697	0.08366299760461697	278.5673536380565	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	8	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
8	x456	360	0.07763500238463568	0.07763500238463568	258.228300502518	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	9	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
9	x1	0	0.06924609929846393	0.06924609929846393	230.36651620913756	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	10	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
10	x480	376	0.05924196618171208	0.05924196618171208	197.10032030899097	0.0	0.7875570980109792	799540	100042	800000	1	0.01	459	11	0	[1361, 995, 1108, 1227, 507]	0.48369998335838316	0.24133270978927612
