"Target_shift","k","h","ARL0","ARL1"
0.25,0.125,9.74,370,57
0.5,0.25,6.7,370,23.3
0.75,0.375,5.1,370,13.2
1,0.5,4.09,370,8.5
1.5,0.75,2.87,370,4.5
2,1,2.14,370,2.9
