n_topics,cv_acc
1,0.8678651685393257
2,0.8822471910112359
3,0.8943820224719101
4,0.8952808988764044
5,0.8934831460674157
6,0.8975280898876404
7,0.9262921348314606
8,0.9303370786516855
9,0.9244943820224719
10,0.922696629213483
11,0.9204494382022472
12,0.9204494382022471
13,0.9249438202247191
14,0.9231460674157302
15,0.9199999999999999
16,0.9195505617977527
17,0.9208988764044944
18,0.9235955056179774
19,0.9249438202247191
20,0.9195505617977527
