,Name,URL,Ingredients
53,155 Belmont,https://www.thecocktaildb.com/drink/15346-155-Belmont,"dark rum, rum, vodka, orange"
54,Vodka Russian,https://www.thecocktaildb.com/drink/15403-Vodka-Russian,"vodka, schweppes russchian"
55,Adam Sunrise,https://www.thecocktaildb.com/drink/15567-Adam-Sunrise,"vodka, lemon, water, sugar"
56,A midsummernight dream,https://www.thecocktaildb.com/drink/15675-A-midsummernight-dream,"vodka, kirschwasser, strawberry liqueur, strawberries, schweppes russchian"
57,Apricot punch,https://www.thecocktaildb.com/drink/15849-Apricot-punch,"brandy, champagne, vodka, 7-up, orange"
58,Black Forest Shake,https://www.thecocktaildb.com/drink/15951-Black-Forest-Shake,"ice, chocolate syrup, brandy, vodka, milk"
59,Bellini Martini,https://www.thecocktaildb.com/drink/16176-Bellini-Martini,"ice, vodka, peach nectar, peach schnapps, Lemon"
60,Jitterbug,https://www.thecocktaildb.com/drink/16178-Jitterbug,"gin, vodka, grenadine, lime, sugar, sugar syrup, soda water"
61,Shark Attack,https://www.thecocktaildb.com/drink/16273-Shark-Attack,"lemon, water, vodka"
62,Adam Bomb,https://www.thecocktaildb.com/drink/16333-Adam-Bomb,"rum, vodka, tequila, triple sec, fruit, ice, salt, fruit"
63,Arizona Antifreeze,https://www.thecocktaildb.com/drink/16354-Arizona-Antifreeze,"vodka, midori melon liqueur, "
64,Zipperhead,https://www.thecocktaildb.com/drink/16942-Zipperhead,"chambord raspberry liqueur, vodka, soda water"
65,A Gilligan's Island,https://www.thecocktaildb.com/drink/16943-A-Gilligans-Island,"vodka, peach schnapps, orange, cranberry"
66,Zorbatini,https://www.thecocktaildb.com/drink/16963-Zorbatini,"vodka, ouzo"
67,Vodka Fizz,https://www.thecocktaildb.com/drink/16967-Vodka-Fizz,"vodka, , lime, ice, nutmeg"
68,Radioactive Long Island tea,https://www.thecocktaildb.com/drink/16984-Radioactive-Long-Island-Iced-Tea,"rum, vodka, tequila, gin, triple sec, chambord raspberry liqueur, midori melon liqueur, malibu rum"
69,Irish Curdling Cow,https://www.thecocktaildb.com/drink/16987-Irish-Curdling-Cow,"baileys irish cream, whisky, vodka, orange"
70,Pink Penocha,https://www.thecocktaildb.com/drink/16992-Pink-Penocha,"everclear, vodka, peach schnapps, orange, cranberry"
71,Orange Whip,https://www.thecocktaildb.com/drink/16995-Orange-Whip,"orange, rum, vodka, cream, ice"
72,Bruised Heart,https://www.thecocktaildb.com/drink/16998-Bruised-Heart,"vodka, chambord raspberry liqueur, peachtree schnapps, cranberry"
73,Gideon's Green Dinosaur,https://www.thecocktaildb.com/drink/17002-Gideons-Green-Dinosaur,"dark rum, vodka, triple sec, tequila, melon liqueur, mountain dew"
74,Irish Russian,https://www.thecocktaildb.com/drink/17015-Irish-Russian,"vodka, kahlua, coca-cola, guinness stout"
75,Homemade Kahlua,https://www.thecocktaildb.com/drink/17044-Homemade-Kahlua,"sugar, corn syrup, coffee, vanilla extract, water, vodka"
76,Army special,https://www.thecocktaildb.com/drink/17066-Army-special,"vodka, gin, lime cordial, ice"
77,Arizona Twister,https://www.thecocktaildb.com/drink/17074-Arizona-Twister,"vodka, malibu rum, tequila, orange, pineapple, coconut, grenadine, ice, pineapple"
78,501 Blue,https://www.thecocktaildb.com/drink/17105-501-Blue,"curacao, blueberry schnapps, vodka, sour mix, 7-up"
79,Brain Fart,https://www.thecocktaildb.com/drink/17120-Brain-Fart,"everclear, vodka, Mountain Dew, Surge, lemon, rum"
80,Cherry Electric Lemon,https://www.thecocktaildb.com/drink/17174-Cherry-Electric-Lemon,"gin, tequila, vodka, rum, triple sec, cherry grenadine, , club soda"
81,Dirty Martini,https://www.thecocktaildb.com/drink/17181-Dirty-Martini,"vodka, vermouth, olive brine, lemon, olive"
82,Cosmopolitan,https://www.thecocktaildb.com/drink/17196-Cosmopolitan,"vodka, lime, cointreau, cranberry"
83,Long Island tea,https://www.thecocktaildb.com/drink/17204-Long-Island-Iced-Tea,"vodka, tequila, rum, gin, coca-cola, twist of Lemon"
84,Espresso Martini,https://www.thecocktaildb.com/drink/17212-Espresso-Martini,"vodka, kahlua, sugar syrup"
85,French Martini,https://www.thecocktaildb.com/drink/17213-French-Martini,"vodka, raspberry liqueur, Pineapple"
86,Russian Spring Punch,https://www.thecocktaildb.com/drink/17214-Russian-Spring-Punch,"vodka, creme de cassis, sugar syrup, Lemon"
87,Vesper,https://www.thecocktaildb.com/drink/17218-Vesper,"gin, vodka, lillet"
88,Butter Baby,https://www.thecocktaildb.com/drink/17220-Butter-Baby,"vanilla ice-cream, butterscotch schnapps, milk, vodka"
89,Absolutely Fabulous,https://www.thecocktaildb.com/drink/17224-Absolutely-Fabulous,"vodka, cranberry, champagne"
90,Greyhound,https://www.thecocktaildb.com/drink/17252-Greyhound,"vodka, grapefruit"
91,Bloody Punch,https://www.thecocktaildb.com/drink/178312-Bloody-Punch,"vodka, strawberries, lime, lemon-lime soda, lemon-lime soda, raisins, blueberries"
92,Halloween Punch,https://www.thecocktaildb.com/drink/178313-Halloween-Punch,"cherry, orange peel, red chili flakes, oves, inger, vodka"
93,747 Drink,https://www.thecocktaildb.com/drink/178318-747-Drink,"vodka, roses sweetened lime, cranberry, sprite"
94,Passion Fruit Martini,https://www.thecocktaildb.com/drink/178323-Passion-Fruit-Martini,"vodka, sugar syrup, glass passion fruit"
95,Figgy Thyme,https://www.thecocktaildb.com/drink/178344-Figgy-Thyme,"vodka, honey, figs, thyme, bitters, tonic water"
96,Snowday,https://www.thecocktaildb.com/drink/178349-Snowday,"vodka, amaro montenegro, port, blood orange,  bitters,orange peel"
97,Pornstar Martini,https://www.thecocktaildb.com/drink/178357-Pornstar-Martini,"vodka, passoa, passion fruit, lime, prosecco"
98,Kiwi Martini,https://www.thecocktaildb.com/drink/178359-Kiwi-Martini,"kiwi, sugar syrup, vodka,kiwi"
99,Lemon Elderflower Spritzer,https://www.thecocktaildb.com/drink/178360-Lemon-Elderflower-Spritzer,"elderflower cordial, vodka, soda water, Lemon"
