Id,Comment
ChunYi Lee,如果具備挑戰能力，應該不用去管考題如何千變萬化，因為站在競爭搶錢的立場，業界一些的慣老闆在物質的水準上也是鬧很多笑話，所以造就了社畜這種新名詞的產生！慣老闆接觸的人一定是社畜無誤
Wenhao Liao,有錢誰不想隔絕8+9
賀桐慶,妓者不要把讀私校的當作有錢人一堆國產車的父母只是把自己的消費縮減喊沒錢的要去lala port吃飯逛街要喝星巴克要貸款買好車只是看父母要不要把預算給孩子的教育而已
林凱傑,因為教育部惡搞 現在公立老師不太敢管 8+9學生太多 所以家長寧願花大錢送去私立
Jack Chen,教育部真的是豬頭腦殘官員集中場！公務人員眾所周知的簡單複雜化到極致的瞎忙龍頭機關。
Net Hsu, 你以為他們是豬頭，其實呢呵呵....去看看那些教科書商和教育體制的關係就知道了，制度太簡單怎麼能藏商機呢~
Yun Ting,少子化，《獨生子女》！誰敢賭那千分之一的《意外》！
陳勁任,但這也可能是教育走市場機制的結果
Wei Lee,非常認同，公校老師也打算讓小孩唸私校
林凱傑,我自己小孩以後也會送私立，朋友小孩讀公立，他們班上一堆8+9嚴重影響上課，很慘
Yun Ting,私校要看榜單！招生少榜單少教學方針必有問題！（不符合學測教學）若是-雙聯學制例外《富貴必竟是少數》！連私校老師也讓孩子讀其他的（私立名校）！
Jenny Yang,公立學校無法拒收 從他校轉過來的學生呀
Sally Huang,8+9的家庭教育不用負責嗎？
Kun Tan Chou, 不用啊！教育局就每學期叫老師修家庭教育，然後數據超漂亮，家長那塊根本沒作為。本末倒置，老師沒去修還要寫報告，家長呢？
林凱傑,就是家長不用負責，又不准老師管教，才會變這樣
李映潔,把教官逐出校園，真的是不智的做法
Stanley Yu,重點之一！ 私校沒有89！
吳信達,其實也有，以前我讀南山，只是南山蠻嚴格的，很多受不了隔年轉學的不少。
楊雲帆,至少有這個機制啊，在一般學校， 轉學都被欺負的 ～
Li Wang,"現在的人很奇怪,在公立學校你的孩子老師都教不得,然後再花大錢送去私校請老師打"
李卓蕙,不是不太管。是管不了也不能退。家長沒在怕，小孩更是
Hor Stail, 私校可選擇以不收，公立不行
