Cocktail Name,Ingredients
Parasol,"light rum, banana liqueur, lime juice, pineapple juice, grated nutmeg"
Stirred Daiquiri,"low-fi sweet vermouth, plymouth gin, lime cordial"
Pineapple Strawberry Daiquiri,"saison pale rum, stiggins fancy, lime juice, simple syrup, strawberry"
Christmas in Manhattan,"bourbon, spiced rum"
Pink Panther,"gin, green chartreuse, lime, simple syrup"
Cinnamon plum smash,"triple sec, orange juice, lemon juice, cinnamon syrup"
Daniel Reyes,"lime juice, ginger syrup, orgeat"
Bold and Gold,"amaro montenegro, lemon juice"
The Downtown Dolce,
Blades of Chaos,"grenadine, ginger beer, peppermint liqueur, blackstrap rum, apple cider, orange wheel"
Berlin Sunset,"blanco tequila, cointreau, lime juice, salt"
Golden Gloves,"bourbon, lemon juice, ginger syrup, honey syrup, mint leaves, mint sprig, ginger candy"
Juliet & Romeo,"beefeater gin, lime juice, simple syrup, cucumber slices, mint leaves, salt, rosewater, angostura bitters, mint leaf"
Stone Cold Fox,"pisco acholado, amaro montenegro, lime juice, orgeat, pineapple juice, club soda, red wine, orange wheel, mint bouquet"
Tiger Balm,"brugal añejo rum, simple syrup, lime juice, branca menta, angostura bitters, mint leaf"
Amaros And Sorrows,"sfumato rabarbaro, luxardo bitter rosso, lemon juice, pineapple, simple syrup, egg white, lemon peel"
"Blacker The Berry, The Sweeter The Juice","mezcal, st. germain, simple syrup, lime juice, agave, creme de mûre, hellfire shrub, blackberry, sage leaf"
Blood Orange Margarita,"tequila, cointreau, bitter bianco, agave, blood orange juice, lime juice, blood orange wedge"
Trick Pony,"vodka, cocchi americano, lemon juice, grapefruit juice, simple syrup, apricot liqueur"
Skater On Crack,"jagermeister, pineapple rum, pineapple juice, lime, simple syrup"
Fassionola Daiquiri,"jamaica rum, aperol, lime juice, fassionola syrup"
Hurricane (Variation),"puerto rican rum, jamaica rum, fassionola syrup, lime juice"
Milano Torino,"campari, vermouth di torino, orange wheel"
Americano,"campari, vermouth di torino"
Hugo Spritz,"st. germain, prosecco, soda water, mint sprig"
Angelino 1860 Spritz,"select aperitivo, braulio amaro, prosecco, soda water, orange wheel"
Bicicletta,"dry white wine, campari, orange wheels"
The Strong Armed Ape,"rum, jamaica rum, angostura bitters, peach bitters, banana syrup"
Tequila Pineapple Sour,"tequila, lime juice, pineapple, agave, msg solutions"
MSG Martini,"gin, dry vermouth, olive brine, msg solution"
American Trilogy,"splash club soda, brown sugar cube, freegans orange bitters, rye whiskey, applejack, orange twist"
Kentucky Maid,"bourbon, lime juice, simple syrup, mint leaves, cucumber slice, cucumber slices"
Fall Back,"rye, applejack, amaro nonino, sweet vermouth, peychauds bitters, orange twist"
Eastside,"gin, lime juice, simple syrup, mint leaves, cucumber slices"
Greenpoint,"rye whiskey, yellow chartreuse, sweet vermouth, angostura bitters, orange bitters, lemon twist"
Revolver,"bourbon, coffee liqueur, orange bitters, orange peel"
Gin Gin Mule,"tanqueray gin, simple syrup, lime juice, mint leaves, mint sprig, ginger beer"
Ancho Problem,"chile liqueur, blanco tequila, lime juice, demerara syrup"
Century City,"mezcal, cognac, sweet vermouth, chile liqueur, orange bitters"
Paloma Picante,"tequila blanco, ancho reyes verde, ruby red grapefruit juice, simple syrup, cilantro leaves, sparkling water"
Gin Hound,"tanqueray gin, celery juice, lime juice, honey syrup"
Silver Monk,"blanco tequila, yellow chartreuse, lime juice, simple syrup, cucumber coins, mint leaves"
Graveyard Shift,"dark rum, coffee liqueur, cynar, xocolatl mole bitters, orange bitters, orange twist"
Little Red,"aperol, lemon juice, simple syrup"
Vespid,fernet-branca
After-Dinner Flip,"brandy, coffee liqueur, amaro montenegro, cynar, fernet branca, simple syrup, xocolatl mole bitters, orange bitters, egg, grated cinnamon, orange twist"
Turning Japanese,"japanese whisky, lemon juice, honey syrup, egg white, yuzu puree, dehydrated lime wheel, angostura bitters"
The Poison Apple,"bourbon, brandy, lemon juice, gum syrup, blackberries, green apple, blackberry spear"
Nordic Heather,"akvavit, drambuie, vodka, rich simple syrup, chai bitters, absinthe rinse"
Quaker,"rye whiskey, cognac, lemon juice, raspberry syrup"
Whiskey Apple Highball,"rye whiskey, apple juice"
Ward Eight,"rye whiskey, grenadine, lemon juice, orange juice"
Rattlesnake,"rye, lemon juice, simple syrup, absinthe rinse, egg white, lemon twist"
Mojito,"light rum, lime juice, simple syrup, club soda, mint leaves, mint sprig"
Traditional Mojito,"light rum, lime juice, rich simple syrup, mint leaves, mint sprig"
Garibaldi,"rye whiskey, campari, lemon juice, simple syrup, large red grapes, orange wheel, grape"
Rainbow Sour,"pineau des charentes, marie brizard apricot liqueur, lemon juice, simple syrup, luxardo cherry, orange slice"
Rome With A View,"campari, dry vermouth, lime juice, simple syrup, soda water"
Dr. J,"rum, lime acid orange, simple syrup, saline solution, vanilla extract, orange juice, citric acid, malic acid"
Marmalade Sour,"gin, lemon juice, orange marmalade, saline solution"
Vodka Martini,"vodka, dry vermouth, orange bitters, olive"
Dirty Martini,"vodka, dry vermouth, olive brine, olive"
Traditional Martini,"gin, dry vermouth, orange bitters, orange twist"
Traditional Dry Martini,"gin, dry vermouth, orange bitters, olive"
Perfect Martini,"gin, sweet vermouth, dry vermouth, orange bitters, olive"
Hishimochi Bitters And Soda,"matcha powder, hot water, simple syrup, soda water, peychauds bitters"
First Lady,"gin, cointreau, simple syrup, lemon juice, matcha, egg white, basil leaves"
Yuzu Salty Dog,"dry gin, grapefruit juice, yuzu juice, simple syrup, matcha powder"
Iceland Dill Martini,"vodka, pickle, dry vermouth, mustard seeds"
Roe Your Boat,"vodka, cacao blanc, chocolate liqueur, saline solution, roe, lemon twist"
Proud Mary,"vodka, water, simple syrup, lemon juice, tomato juice, milk, lemon wedge, celery stick, cornichon pickle, cherry tomatoes"
Absent-minded,"absinthe, whiskey, cointreau, lime juice"
Royal Hawaiian Mai Tai,"demerara rum, coruba, light rum, orange liqueur, orange juice, pineapple juice, lime, orgeat, lemon, simple syrup, maraschino cherry, mint sprig"
Bird of Paradise,"vodka, pineapple juice, lime juice, simple syrup, peach bitters, strawberry, cucumber slices"
Frozen Negroni,"campari, gin, sweet vermouth, simple syrup, orange juice, orange half wheel"
The PK,"virgin islands rum, coconut cream, pineapple juice, orange juice, nutmeg"
Scorpion,"cognac, light rum, orange juice, lemon juice, orgeat, simple syrup, pineapple wedge"
Green Swizzle,"overproof rum, velvet falernum, light rum, lime juice, creme de menthe, angostura bitters, mint sprig"
Florodora,"gin, lime juice, raspberry syrup, ginger beer, raspberries"
Irish Old Fashioned,"bushmills, sugar cube, aromatic bitters, orange bitters"
Shelby Sour,"bushmills, orange liqueur, lemon juice, rich simple syrup, egg white, orange twist"
Hot Lips,"tequila, mezcal, lemon juice, pineapple juice, vanilla syrup, sugar cane syrup"
Bitter Giuseppe,"cynar, carpano antica, orange bitters, lemon peel, lemon juice"
Bitter Italian,"amaro ciociaro, aperol, maraschino liqueur, lemon juice, lemon twist"
Angostura Sour,"angostura bitters, lime juice, simple syrup, egg white"
Broken Shoe Shiner,"pernod pastis, aperol, benedictine, pineapple juice, lemon juice, egg white, rose water"
Naked & Famous,"mezcal, aperol, yellow chartreuse, lime"
The Final Ward,"rye whiskey, green chartreuse, maraschino liqueur, lemon juice"
Paper Plane,"bourbon, aperol, amaro nonino, lemon juice"
Last Word,"gin, green chartreuse, lime juice, maraschino"
No True Scotsman,"scotch, rum, passionfruit syrup, brandy, lemon juice, angostura bitters, mint sprig, lemon wheel"
Pornographic Material,"vodka, passion fruit syrup, wine, vanilla bitters, flavour blaster passion fruit smoke bubble"
Blue Reef,"puerto rican rum, blue curacao, lime juice, galliano"
Coronado Luau Special,"jamaica rum, light rum, brandy, grand marnier, orange juice, lemon juice, simple syrup, orgeat, crushed ice, orchids, mint, cherries"
The Anise Kick,"anisette, fernet-branca, ginger syrup, honey syrup, angostura bitters, mint leaves"
Winter Mai Tai,"jamaica rum, licor 43, orgeat, gingerbread syrup, lime juice, orange slice"
Cloister,"gin, grapefruit juice, lemon juice, yellow chartreuse"
Cloister (Re-spec),"london dry gin, yellow chartreuse, grapefruit juice, lemon juice, simple syrup, grapefruit twist"
Last Bird,"jamaica rum, campari, green chartreuse, pineapple juice, lime juice"
Maid in Mexico,"reposado tequila, lime juice, simple syrup, cucumber, mint leaves, cucumber"
The New Father,"haitian rum, rhum agricole, myers planters punch blend, cointreau, pineapple juice, lime juice, angostura bitters, tonic water"
Bless this house,"cocchi rosa, blanco tequila, green chartreuse, sage, ground peppercorn, lemon twist"
Fay Wray,"gold rum, cognac, banana liqueur, lime juice, rhum agricole, demerara syrup, lime wedge"
Cardinale,"gin, wine, campari"
Cardinale (Modern),"gin, dry vermouth, campari, orange wheel"
Deez Nutz,"gin, orgeat, lime juice"
Scofflaw,"rye whiskey, dry vermouth, blanc vermouth, lemon juice, grenadine, orange bitters"
Scofflaw (Modern),"rye whiskey, dry vermouth, lemon juice, grenadine, orange bitters"
Barbacoa,"mezcal, ginger syrup, lemon juice, agave, chipotle puree, lime, bell pepper, fresno chile, beef jerky"
The Spice Must Flow,"tequila, lillet blanc, orange liqueur, orange juice, spiced demerara syrup, egg white, orange bitters, cinnamon bitters, cinnamon"
The Hawaii Blues,"jamaica rum, blue curaçao, pineapple juice, lime juice, lemon juice, simple syrup"
If You Like Ube Coladas,"plantation pineapple, light rum, jamaica rum, coconut cream, ube syrup, lime juice, pineapple juice"
West India Sour,"angostura bitters, cognac, orgeat, lemon juice, orange bitters"
Soul so Dead,"blended scotch, cynar, sweet vermouth, orange bitters, orange liqueur, gold rum, orange peel"
Black Mountain Road,"gin, amaro montenegro, maple syrup, lime juice, lavender bitters, basil"
Breakfast for Dinner,"bacon fat washed bourbon, coffee liqueur, maple syrup, egg white, orange bitters, orange twist, woodford reserve"
Cadillac Margarita,"tequila, lime juice, agave, grand marnier, lemon peel"
Oaxacanite,"mezcal, tequila, honey syrup, lime juice, angostura bitters, grapefruit peel"
Bobby Burns for Burns Night,"scotch, sweet vermouth, angostura bitters, benedictine, lemon twist"
Atomic Cocktail (Revised),"vodka, cognac, amontillado sherry, champagne, lemon twist"
Atomic Cocktail,"vodka, cognac, amontillado sherry, champagne, lemon twist"
Tiger Chilled Coffee,"dark rum, rum, cinnamon syrup, allspice dram, cold brew coffee, heavy cream, absinthe spritz"
The Pelican,"caffe lolita, branca menta, fernet-branca, heavy cream"
Paddington,"light rum, lillet blanc, grapefruit juice, lemon juice"
Moka Pot Amaro,"amaro, cinnamon, rosemary"
Amaro Caldo (Hot Amaro),"amaro, hot water"
Coquito,"evaporated milk, egg yolk, unsweetened coconut milk, sweetened condensed milk, light rum, ground cinnamon, pinch of salt"
Rompope,"almonds, granulated sugar, whole milk, cinnamon sticks, lemon rind, pure vanilla extract, baking soda, egg yolks, white rum or aguardiente"
American Whiskey Skin,"bourbon, honey syrup, boiling water, lemon wege with clove"
Verte Chaud,"green chartreuse, hot chocolate, whipped cream on top, whole milk (or milk of choice), semi sweet chocolate, brown sugar, pinch of sea salt or fleur de sel"
Nux Alpine,"apple jack, pineapple rum, lemon juice, walnut liqueur, cloudy apple juice, pumpkin spice syrup"
Dominicana,"aged rum, coffee liqueur, heavy cream, orange zest"
Getaway Car,"apple signature aged jamaica rum, chile liqueur, pineapple juice, lime juice, simple syrup, lime wheel and ancho chile powder"
Hard Sell,"st. germain, beefeater gin, malort, lemon juice, grapefruit twist"
Cold Brew Americano,"campari, sweet vermouth, cold brew coffee, lemon juice, soda water, lemon peel garnish"
Northenders Vacation,"aged rum, amaro montenegro, banana liqueur, falernum, lemon juice, brûléed bananas slice"
Earl Grey MarTEAni,"earl grey infused gin, simple syrup, lemon juice, egg white"
The Quiet Man,"irish whiskey, irish whiskey, honey syrup, orange bitters"
The Sage Hen,"plymouth gin, yellow chartreuse, lemon juice, sage infused honey syrup, apple, sage leaves"
Spice Trade,"gin, lemon juice, cinnamon simple syrup, basil leaves, basil leaf"
Hot Zombie,"puerto rican gold rum, hot water, pineapple juice, lime juice, passionfruit syrup, brown sugar, butter, lemon hart 151 float"
Zombie,"jamaica rum, puerto rican rum, cinnamon syrup, white grapefruit juice, lime juice, mint sprig"
Whiskey Sour Reconstructed,"rye whiskey, lemon juice, orange juice, rich simple syrup, egg white, angostura bitters"
Standard Tiki No 1,"whiskey, jamaica rum, creme de mure, lemon juice, pineapple juice, nutmeg simple syrup, mint sprig"
Monkey Pod Mai Tai,"dark rum, light rum, lime juice, macadamia nut orgeat, warm water, caster sugar, roasted macadamia nuts, orange flower water, kosher salt, cold water, passion fruit puree, simple syrup, honey syrup, egg white"
The Ancient Mariner,"jamaica rum, demerara rum, allspice dram, lime juice, simple syrup, grapefruit juice, mint sprig, tribal lime"
La Bomba,"light rum, lime juice, simple syrup, raspberries, pomegranate molasses, lime wheel and raspberry garnish"
La Bomba,"light rum, lime juice, simple syrup, raspberries, pomegranate molasses, lime wheel and raspberry garnish"
Pineapple Trainwreck,"dark rum, overproof rum, pineapple juice, ginger syrup, lemon juice, peychaud's bitters, angostura bitters, pineapple frond"
Chamomile Sour,"blanc vermouth, lemon juice, simple syrup, egg white"
Singapore Sling,"gin, cherry heering, benedictine, cointreau, lime juice, grenadine, pineapple juice, angostura bitters, soda water, pineapple, maraschino cherry"
Midnight Stinger,"bourbon, fernet-branca, lemon juice, simple syrup, mint sprig"
Follow That Black Rabbit,"gin, fernet-branca, maple syrup, orange juice, lemon juice, orange peel"
Clockwork Orange,"vodka, cointreau, simple syrup, lemon juice, lime juice, vanilla sugar, orange peels, egg white, soda water"
Trinidad Sour,"angostura bitters, rye whiskey, orgeat, lemon juice"
Sawyer,"gin, lime juice, orange bitters, peychaud's bitters, angostura bitters, lime wedge"
Sea Salt Foam Margarita,"tequila blanco, cointreau, lime juice, agave"
Regal Daiquiri,"rum, lime juice, simple syrup, grapefruit peel, lemon twist"
Change of Address,"lemon juice, maple syrup, soy sauce, coca-cola"
Salted Rosemary Paloma,"grapefruit juice, lime juice, soda water, rosemary"
Vodka Espresso aka Espresso Martini,"vodka, coffee liqueur, espresso, simple syrup, coffee beans"
Cafe Grog,"coffee liqueur, rum, grapefruit juice, lime juice, simple syrup"
Java Flow,"light rum, coconut syrup, pineapple juice, coffee liqueur, lime wedge"
Blackbird,"campari, gold jamaica rum, coffee liqueur, pineapple juice, lime juice, rich simple syrup, orange slice"
Kangaroo aka Vodka Martini,"vodka, dry vermouth"
Caipiroska,"vodka, simple syrup"
Charging Station,"vodka, coconut syrup, cold brew coffee, firewater bitters, grated cinnamon"
Cosmopolitan,"citron vodka, cointreau, lime juice, cranberry juice, lemon twist"
Vodka Cranberry,"vodka, soda water, cranberry juice, simple syrup"
Lemon Drop,"vodka, cointreau, lemon juice, sugar, lemon juice, lemon twist"
Appletini,"vodka, apple juice, lemon juice, simple syrup, green apple"
Kentucky Mai Tai,"bourbon, amaro angelino, avocado pit orgeat, lime juice, lemon juice, angostura bitters, lime wheel"
Paper Plane,"bourbon, aperol, amaro nonino, lemon juice"
Bourbon Smash,"bourbon, simple syrup, lemon, mint, mint sprig"
Banana PB & J Sour,"peanut butter whiskey, banana liqueur, lemon juice, orgeat, strawberry preserves, egg white"
East Sherry Colada,"amontillado sherry, pineapple juice, coconut cream, lemon juice, angostura bitters, pineapple wedge, pineapple frond"
Sable,"dry vermouth, london dry gin, orange bitters"
Wrangler,"east india sherry, orgeat, lemon juice, soda water, grated nutmeg, lemon peel"
California Gold Rush,"california brandy, lemon juice, honey syrup"
Nor Cal Boulevardier,"california brandy, sweet vermouth, gentian amaro, orange twist"
Reconstructed Bahama Mama,"dark rum, coconut rum, overproof rum, coffee liqueur, pineapple juice, lemon juice"
Bahama Mama,"dark rum, coconut rum, 151 rum, pineapple juice, orange juice"
Ramos Gin Fizz,"gin, soda water, heavy cream, simple syrup, lemon juice, lime juice, egg white, orange flower water, orange twist"
Talent Scout,"bourbon, orange liqueur, angostura bitters, lemon twist"
Campari Shakerato,"campari, saline solution, orange flower water, orange twist"
Pineapple Syllabub,"pineapple rum, heavy cream, honey syrup, lemon juice, lemon zest, grated nutmeg"
Blannibal Sour,"haitian rum, absinthe, pineapple juice, lime juice, blueberry pancake syrup, blueberry jam"
Corpse Reviver Number Blue,"gin, blue curaçao, lillet blanc, lemon juice, lemon twist"
Guardian Angel,"amaro montenegro, orgeat, lime juice, cucumber, cucumber slices"
Pignoli Alexander,"spiced rum, orange liqueur, crème de cacao, heavy cream, chocolate"
Spiced Apple Fix,"applejack, lemon juice, cinnamon syrup, apple fan"
Mojito Criollo No. 2,"old tom gin, lime juice, simple syrup, mint leaves, sugar cube, soda water, mint sprig"
Applejack Cocktail,"applejack, apple cider, lemon juice, simple syrup"
Bourbon Renewal,"bourbon, crème de cassis, lemon juice, simple syrup, lemon wheel"
Dodecadaiquiri,"12 rum blend infinity bottle, lime juice, simple syrup, lime wheel"
Yuzu Gimlet,"gin, triple syrup, lime juice, yuzu juice, shiso leaf, lime wheel"
Windsor Terrace,"rye whiskey, jamaica rum, cherry heering, chicory bitters, orange twist"
Kombucha Sangria,"red wine, aperol, lemon juice, simple syrup, kombucha"
Sugar Plum,"gin, grapefruit juice, grenadine"
Bowery Fix,"blanco tequila, mezcal, yellow chartreuse, yellow pepper juice, lemon juice, simple syrup"
Bar Fly,"gin, parfait amour, pineapple juice, lemon juice, simple syrup, lemon peel"
Lost Lake,"jamaica rum, campari, maraschino liqueur, lime juice, passion fruit syrup, pineapple juice"
Smoke and Mirrors,"scotch whiskey, lime juice, simple syrup, mint leaves, absinthe, mint leaf"
A Red Car Named Desire,"rye whiskey, cynar, maraschino liqueur, lemon twist"
Breakfast Martini,"gin, orange liqueur, lemon juice, orange twist"
Pink Gin,"plymouth gin, angostura bitters"
Breakfast Bell,"bourbon, heavy cream, cold brew coffee, maple syrup, egg white, soda water"
Black Martini,"rye whiskey, averna, old tom gin, maraschino liqueur, orange twist"
Rangoon,"pimm's no 1, ginger syrup, cucumber, blackberry, sprite, lime wedge, lemon wedge, cucumber slice"
Flamingo,"light rum, rhum agricole, raspberry syrup, lemon juice, cucumber bitters, tonic water, raspberry garnish"
Blue Hawaii,"light rum, blue curaçao, coconut liqueur, pineapple juice"
Martini,"gin, dry vermouth, orange bitters, orange twist"
Kola Sour,"meletti amaro, light rum, lemon juice, orgeat, cherry bark vanilla bitters, egg white"
Rabo de Galo,"cachaça, cynar, sweet vermouth, lime twist"
Tia Mia by Ivy Mix,"mezcal, jamaica rum, orange liqueur, lime juice, orgeat, mint sprig"
Banana Daiquiri by Julie Reiner,"jamaica rum, light rum, banana liqueur, lime juice, demerara syrup, banana, caramelized banana slice"
One Love,"coconut fat washed vodka, creme de cacao, lime juice, honey syrup, pineapple juice"
Accidental Tourist,"peach liqueur, orgeat, lemon juice"
Just for Mary,"rye whiskey, lillet blanc, cherry liqueur, orange bitters"
Blackberry Press,"limoncello, crème de mûre, lemon juice, simple syrup, mint leaves, blackberries, blackberries"
Best Fronds,"pineapple rum, camapri, sweet vermouth, chocolate bitters"
Bellini,"prosecco, peach puree"
Water on the Vine,"aquavit, lime juice, simple syrup"
Apricot Julep,"bourbon, apricot liqueur, simple syrup, mint leaves, mint sprig"
Jungle Bird,"jamaica rum, campari, pineapple juice, lime juice, simple syrup, pineapple fronds"
Arinato,"mezcal espadin, lillet blanc, dolin dry vermouth, yellow chartreuse, peychaud’s bitters, maraschino liqueur, grapefruit twist"
Pineapple Daiquiri,"dark rum, pineapple juice, lime juice, simple syrup, coupe"
Bare Knuckle Boxer,"light rum, vodka, orange liqueur, blood orange juice, simple syrup, lemon juice, saline solution, dehydrated lemon wheel"
Moscow Mule,"vodka, lime juice, ginger beer, lime wheel"
Penicillin,"scotch whiskey, lemon juice, honey syrup, ginger syrup, laphroaig islay scotch, candied ginger"
Alabama Slammer,"vodka, sloe gin, southern comfort, orange juice, grenadine float, orange slice, maraschino cherry"
Switchblade,"blanco tequila, white creme de cacao, lime juice, simple syrup, ground cayenne pepper"
Three-Ingredient Midori Sour,"midori, lime juice, egg white"
Whiskey Peach Smash,"bonded bourbon, orange liqueur, lemon wedges, mint leaves"
Arrack Punch,"batavia arrack, jamaica rum, lemon juice, simple syrup, pineapple juice"
Pendergast #2,"whiskey, sweet vermouth, benedictine, orange bitters, lemon twist"
La Florida,"light rum, sweet vermouth, creme de cacao, orange liqueur, lime juice, grenadine, orange twist"
Hummingbird,"light rum, lime juice, honey syrup, garnishes, mango fruit leather"
Gin and It,"gin, sweet vermouth, lemon twist"
Frozen Strawberry Daiquiri,"light rum, strawberry puree, lime syrup, simple syrup, sweetened heavy cream, mint sprig"
Improved Orange Whip,"rhum barbancourt blanc, coconut fat washed vodka, velvet falernum, heavy cream, orange juice, simple syrup, soda water, egg white, soda water"
Fond Farewell,"rittenhouse bonded rye, rhum agricole, cocchi americano, campari, orange twist"
Seven Seas Swizzle,"batavia-arrack, lime juice, orange bitters, mint sprig, dehydrated lime wheel, nutmeg"
Lucien Gaudin,"gin, campari, cointreau, dry vermouth, orange twist"
Kitty Highball,"red wine, ginger syrup, lime juice, soda water"
Thin Margins,"pimm’s no 1, barr hill gin, lime juice, ginger syrup, maple syrup, egg white, angostura bitters"
Blinker,"rye whiskey, grapefruit juice, grenadine"
Amaro Sour,"amaro, bourbon, lemon juice, simple syrup, egg white"
Strawberry Star,"strawberry brandy, sweet vermouth, angostura bitters, lemon twist"
A Radish Walks into a Bar,"ransom old tom gin, sweet vermouth, lemon juice"
Rum Runner,"light rum, jamaica rum, pineapple juice, lime juice, simple syrup, peychaud's bitters, dehydrated citrus wheel, pineapple fronds"
The Star,"sweet vermouth, applejack, angostura bitters"
Laurel Canyon,"mulholland gin, dry vermouth, amaro montenegro, cucumber slices, grapefruit bitters, cucumber slice"
Cocchi Cola,"tennessee whiskey, cocchi americano, amaro nonino, tiki bitters, coupe"
Kona Swizzle,"rhum agricole, coffee liqueur, lime juice, orgeat, mint leaves, mint sprig"
Boilermaker House Sour,"scotch, lemon juice, simple syrup, passionfruit syrup, angostura bitters, egg white, ipa topped"
White Russian,"vodka, coffee liqueur, simple syrup, hand whipped heavy cream"
Cool Headed Monkey,"caña brava 3yr rum, mandarine napoleon, watermelon juice, pineapple juice, lime juice, cinnamon syrup, pineapple frond, fresh fruit"
Little Tokyo,"nigori sake, cappelletti apertivo, sweet vermouth, yuzu juice, orange twist"
Macho Manhattan,"rye whiskey, licor 43, sweet vermouth, maraschino cherry juice, maraschino cherry"
Caipirissimo,"mezcal, select apertivo, simple syrup, caster sugar"
Winds of Winter,"light rum, clarified tropical mix, blue curaçao, angostura bitters"
Puka Punch,"light rum, cruzan gold, dark rum, velvet falernum, lime juice, honey syrup, orange juice, pineapple juice, passion fruit juice, angostura bitters, lemon hart 151 float, cherry, pineapple wedge, orange slice"
Zombie Panda,"pisco, lychee syrup, lemon juice"
High Tide,"gin, cocchi americano, feegans’s orange bitters"
Vatican City,"gentian liqueur, blanc vermouth, lime juice, simple syrup, soda water, grapefruit twist"
Mexican Breakfast Stout,"guinness, reposado tequila, coffee liqueur, cold brew concentrate, cinnamon syrup, cointreau cream"
The Velvet Rut,"bonded bourbon, banana liqueur, coffee liqueur, bittermen’s tiki bitters, lemon twist"
Hole in the Cup,"blanco tequila, absinthe, pineapple juice, simple syrup, lime juice, cucumber slices, cucumber slice"
Puritan,"gin, yellow chartreuse, dry vermouth, feegans orange bitters, lemon twist"
Tennessee Mai Tai,"jack daniel’s rye whiskey, cointreau, orgeat, lemon juice, lime juice, mint sprig, lime wheel"
Put on a Happy Face,"rhum agricole blanc, green chartreuse, pineapple juice, lemon juice, cinnamon syrup"
Pressure Drop,"old tom gin, meletti amaro, dry vermouth, pear brandy, angostura bitters"
Southern Whiskey Rebellion,"scotch, cynar, peach liqueur, lemon juice, lemon twist"
JFK Harris,"light rum, lemon juice, simple syrup, mint leaves, red wine"
Bitter Fingers,"zucca rabarbaro, orgeat, rye whiskey, lemon juice, pineapple juice, angostura bitters, lemon twist, maraschino cherry"
Bounty Law,"bourbon, amaro angelino, lemon juice, orange juice, egg white, angostura bitters"
Goo,"gran classico, sweet vermouth, gin"
Lower Manhattan,"irish wiskey, sweet vermouth, tobacco bitters, orange twist"
Aviation,"gin, lemon juice, maraschino liqueur, crème de violette, maraschino cherry, coupe"
Fight Milk,"jamaica rum, banana liqueur, whole milk, simple syrup, egg, xocolatl mole bitters, grated nutmeg"
Bramble,"gin, lemon juice, simple syrup, crème de mûre, lemon wedge, fresh blackberry"
Oaxacan Roja,"mezcal, cynar, maraschino liqueur, orange bitters, maraschino cherry, coupe"
Lucano Corretto,"amaro lucano, aged rum, coffee liqueur, heavy cream, aztec chocolate bitters, chocolate"
Newark,"bonded applejack, sweet vermouth, fernet branca, maraschino liqueur, coupe"
Temperance Grapefruit Collins,"grapefruit juice, lime juice, simple syrup, soda water, grapefruit slice"
El Fiero,"blanco tequila, cointreau, crème de menthe, crème de cacao, orange twist"
Busy Knee,"genepy des alpes, honey syrup, lime juice, lemon juice, coupe"
Pink lady,"gin, applejack, lemon juice, grenadine syrup, egg white"
Midori Sour,"mezcal espadin, midori, yuzu juice, pineapple juice, simple syrup"
Ice-Berg,"reposado tequila, orgeat, lemon juice, underberg bitters"
Beam Me Up Toddy,"pear juice, orange juice, clover honey, water, kosher salt, orange peel, lemon peel, sage, yuzu juice, lemon juice"
Seelbach,"bourbon, cointreau, angostura bitters, peychaud’s bitters, prosecco, orange twist"
Grasshopper,"mint infused vodka, crème de cacao, ancho reyes verde, white chocolate syrup"
Key Lime Mimosa,"prosecco, licor 43, lime juice"
The Nightcap Before Christmas,"spiced rum, whole milk"
Butterbeer,"good english ale, egg yolks, demerara sugar, butter, nutmeg, ginger, clove, fresh grated nutmeg"
Hot Buttered Rum,rum
Brancolada,"jamaica rum, pineapple juice, coconut cream, orange juice, mint sprig"
Howick Hall,"cognac, bergamot tea syrup, heavy cream, orange bitters"
Exit Strategy,"amaro nonino, cognac, meletti amaro, kosher salt, orange peel"
Billionaire,"bourbon, simple syrup, camapri, absinthe bitters, lemon juice, dehydrated lemon wheel"
Milk Punch,"whole milk, brandy, simple syrup, vanilla exctract, nutmeg"
Song of the Siren,"rhum agricole blanc, mezcal espadin, crème de cacao, lime juice, pineapple juice, baulio amaro, banana leaf"
Father Knows Best,"scotch whiskey, jägermeister, green chartreuse, root beer syrup, dad's old fashioned root beer, caster sugar"
Li Ziqi Highball 李子柒 高杯,"vodka, lime juice, passion fruit purée, ginger syrup, lime cordial, soda water, highball"
Another Time,"rum, pineapple juice, lime juice, coconut cream, sugar cane syrup, lime wheel"
Bitter Mai Tai,"campari, rum, orange liqueur, lime juice, orgeat, mint sprig, lime wheel"
Coffee Cocktail,"cognac, ruby port, demerara syrup, egg, grated nutmeg"
Mad Hatter,"rye whiskey, simple syrup, lime juice, lemon juice, absinthe, dehydrated lemon wheel"
Swimming Pool,"vodka, light rum, pineapple juice, heavy cream, coconut cream, blue curaçao"
Ce Soir,"cognac, cynar, yellow chartreuse, angostura bitters, regan’s orange bitters"
Death Flip,"blanco tequila, jägermeister, yellow chartreuse, egg, simple syrup, grated nutmeg"
Fall Enzoni,"rye whiskey, campari, lemon juice, simple syrup, grapes"
Best Year,"vodka, blue curaçao, licor 43, aquavit, pineapple juice, lime cordial, lime juice, pineapple frond, maraschino cherry, lime rose"
Boys Bar Drive,"gin, aperol, coffee liqueur, campari, orange twist"
The Joker Cocktail,"gin, lemon juice, lime cordial, cinnamon syrup, chloroxygen, butterfly pea tea"
Division Bell,"mezcal, aperol, maraschino liqueur, lime juice, grapefruit twist"
Banana Daiquiri Take 653,"dark rum, light rum, banane du brésil, lime juice, demerara syrup, ripe banana, blackstrap bitters, orchids"
