Cocktail Name,Ingredients
The Loser,"whiskey, jagermeister, coffee liqueur, cola, beef broth"
Oaxacan Fix,"tequila añejo, mezcal, orange liqueur, lemon juice, agave, dehydrated lime wheel"
Bahia Sling,"cachaca, creme de cacao, passionfruit syrup, lime juice, orchid, mint sprig"
Franklin Bearse,"jamaica rum, yellow chartreuse, orange liqueur, angostura bitters, orange peel"
Obituary Cocktail,"gin, dry vermouth, absinthe, lemon twist"
French Batallion,"rhum agricole blanc, absinthe, lemon juice, orgeat, egg white"
Campanula Sour,"grapefruit vodka, elderflower liqueur, lemon juice, simple syrup, red bell pepper, mint leaves"
Reles Sour,"rum, orange liqueur, orange juice, lime juice, vanilla syrup, egg white, malbec reduction"
Daq Attack,"rum, rhum agricole, kiwi syrup, lime juice, lime twist, simple syrup, kiwi"
Pan American Clipper,"applejack, grenadine, lime juice, absinthe rinse, dehydrated lime wheel"
The Matilda,"vodka, green chartreuse, orange liqueur, pineapple juice, lime juice, egg white, sage leaf, lime wheel, lemon wheel"
Maple Rose,"bourbon, bianco vermouth, lemon juice, rosemary maple syrup, rosemary sprig, rosemary, maple syrup"
Fumata Bianca,"bianco vermouth, suze gentian liqueur, mezcal, club soda, grapefruit twist"
Pennington Daiquiri,"rhum agricole blanc, brandy, suze gentian liqueur, honey syrup, simple syrup, lemon juice, lime wedge"
Kingston Sound System,"jamaica rum, suze gentian liqueur, soursop, lime juice, lime wheel, pineapple fronds"
Daisy De Santiago,"light rum, yellow chartreuse, simple syrup, lime juice, mint sprig"
A State of Oaxaca,"blanco tequila, mezcal, green chartreuse, orange liqueur, lime juice, grapefruit juice, agave nectar, grapefruit peel"
Caraminhola,"cheese, irish whiskey, parmesan, strawberry, simple syrup, red chili, water, citric acid, malic acid"
Lily Pad,"jamaica rum, fernet branca, lime juice, pineapple juice, cinnamon syrup, dehydrated lime wheel, orchid"
Hoodwinked,"mezcal, aperol, lemon juice, pineapple juice, simple syrup, pineapple wedge"
Viva Cuba,"dark rum, lemon juice, lime juice, cinnamon syrup, vanilla extract, soda water, lemon wedge"
Jagerita Sour,"jagermeister, cointreau, lime juice, simple syrup, egg white, dehydrated lime wheel"
Sharpie Mustache,"gin, rye, meletti amaro, bonal gentiane-quina, tiki bitters, orange twist"
Banana Cow,"jamaica rum, banana liqueur, milk, simple syrup, angostura bitters, vanilla extract, nutmeg"
Philadelphia Fish House Punch,"cognac, barbados rum, peach liqueur, black tea, lemon juice, simple syrup, lemon wheel"
Industry Sour,"fernet-branca, green chartreuse, simple syrup, lime juice, dehydrated lime wheel"
Skittles Vesper,"cocchi americano, vodka, skittles gin, skittles, gin"
Sushi Rice Negroni,"gin, campari, sweet vermouth, sushi rice"
Poinsettia Park Swizzle,"angostura rum, orange liqueur, creme de cacao, lime juice, simple syrup, mint leaves, angostura bitters, angostura cocoa bitters, mint sprig"
Tequila Roma,"tequila, lemon juice, cinnamon syrup, aperol, egg white, angostura bitters"
The Agony and the Ecstasy,"suntory, whiskey, orange peel syrup, lemon juice, egg white, red wine, rosemary"
The Manhattan Project,"rye whiskey, averna amaro, amontillado sherry, orange oil, luxardo cherry"
